key,time,count
,0CA1OLF0000000,6
date_hour,0CA1OLF0000000,6
date_mday,0CA1OLF0000000,6
date_minute,0CA1OLF0000000,6
date_month,0CA1OLF0000000,6
date_second,0CA1OLF0000000,6
date_wday,0CA1OLF0000000,6
date_year,0CA1OLF0000000,6
date_zone,0CA1OLF0000000,6
host,0CA1OLF0000000,6
linecount,0CA1OLF0000000,6
punct,0CA1OLF0000000,6
source,0CA1OLF0000000,6
timeendpos,0CA1OLF0000000,6
timestamp,0CA1OLF0000000,0
timestartpos,0CA1OLF0000000,6
,0CA4AD30000000,2
date_hour,0CA4AD30000000,2
date_mday,0CA4AD30000000,2
date_minute,0CA4AD30000000,2
date_month,0CA4AD30000000,2
date_second,0CA4AD30000000,2
date_wday,0CA4AD30000000,2
date_year,0CA4AD30000000,2
date_zone,0CA4AD30000000,2
host,0CA4AD30000000,2
linecount,0CA4AD30000000,2
punct,0CA4AD30000000,2
source,0CA4AD30000000,2
timeendpos,0CA4AD30000000,2
timestamp,0CA4AD30000000,0
timestartpos,0CA4AD30000000,2
,0CA6MRV0000000,7
date_hour,0CA6MRV0000000,7
date_mday,0CA6MRV0000000,7
date_minute,0CA6MRV0000000,7
date_month,0CA6MRV0000000,7
date_second,0CA6MRV0000000,7
date_wday,0CA6MRV0000000,7
date_year,0CA6MRV0000000,7
date_zone,0CA6MRV0000000,7
host,0CA6MRV0000000,7
linecount,0CA6MRV0000000,7
punct,0CA6MRV0000000,7
source,0CA6MRV0000000,7
timeendpos,0CA6MRV0000000,7
timestamp,0CA6MRV0000000,0
timestartpos,0CA6MRV0000000,7
,0CA98G2G000000,1
date_hour,0CA98G2G000000,1
date_mday,0CA98G2G000000,1
date_minute,0CA98G2G000000,1
date_month,0CA98G2G000000,1
date_second,0CA98G2G000000,1
date_wday,0CA98G2G000000,1
date_year,0CA98G2G000000,1
date_zone,0CA98G2G000000,1
host,0CA98G2G000000,1
linecount,0CA98G2G000000,1
punct,0CA98G2G000000,1
source,0CA98G2G000000,1
timeendpos,0CA98G2G000000,1
timestamp,0CA98G2G000000,0
timestartpos,0CA98G2G000000,1
,0CABNJAG000000,2
date_hour,0CABNJAG000000,2
date_mday,0CABNJAG000000,2
date_minute,0CABNJAG000000,2
date_month,0CABNJAG000000,2
date_second,0CABNJAG000000,2
date_wday,0CABNJAG000000,2
date_year,0CABNJAG000000,2
date_zone,0CABNJAG000000,2
host,0CABNJAG000000,2
linecount,0CABNJAG000000,2
punct,0CABNJAG000000,2
source,0CABNJAG000000,2
timeendpos,0CABNJAG000000,2
timestamp,0CABNJAG000000,0
timestartpos,0CABNJAG000000,2
,0CAE9AUG000000,1
date_hour,0CAE9AUG000000,1
date_mday,0CAE9AUG000000,1
date_minute,0CAE9AUG000000,1
date_month,0CAE9AUG000000,1
date_second,0CAE9AUG000000,1
date_wday,0CAE9AUG000000,1
date_year,0CAE9AUG000000,1
date_zone,0CAE9AUG000000,1
host,0CAE9AUG000000,1
linecount,0CAE9AUG000000,1
punct,0CAE9AUG000000,1
source,0CAE9AUG000000,1
timeendpos,0CAE9AUG000000,1
timestamp,0CAE9AUG000000,0
timestartpos,0CAE9AUG000000,1
,0CAGOE6G000000,2
date_hour,0CAGOE6G000000,2
date_mday,0CAGOE6G000000,2
date_minute,0CAGOE6G000000,2
date_month,0CAGOE6G000000,2
date_second,0CAGOE6G000000,2
date_wday,0CAGOE6G000000,2
date_year,0CAGOE6G000000,2
date_zone,0CAGOE6G000000,2
host,0CAGOE6G000000,2
linecount,0CAGOE6G000000,2
punct,0CAGOE6G000000,2
source,0CAGOE6G000000,2
timeendpos,0CAGOE6G000000,2
timestamp,0CAGOE6G000000,0
timestartpos,0CAGOE6G000000,2
,0CAJA5QG000000,2
date_hour,0CAJA5QG000000,2
date_mday,0CAJA5QG000000,2
date_minute,0CAJA5QG000000,2
date_month,0CAJA5QG000000,2
date_second,0CAJA5QG000000,2
date_wday,0CAJA5QG000000,2
date_year,0CAJA5QG000000,2
date_zone,0CAJA5QG000000,2
host,0CAJA5QG000000,2
linecount,0CAJA5QG000000,2
punct,0CAJA5QG000000,2
source,0CAJA5QG000000,2
timeendpos,0CAJA5QG000000,2
timestamp,0CAJA5QG000000,0
timestartpos,0CAJA5QG000000,2
,0CAOB0MG000000,2
date_hour,0CAOB0MG000000,2
date_mday,0CAOB0MG000000,2
date_minute,0CAOB0MG000000,2
date_month,0CAOB0MG000000,2
date_second,0CAOB0MG000000,2
date_wday,0CAOB0MG000000,2
date_year,0CAOB0MG000000,2
date_zone,0CAOB0MG000000,2
host,0CAOB0MG000000,2
linecount,0CAOB0MG000000,2
punct,0CAOB0MG000000,2
source,0CAOB0MG000000,2
timeendpos,0CAOB0MG000000,2
timestamp,0CAOB0MG000000,0
timestartpos,0CAOB0MG000000,2
,0CAQSRR0000000,1
date_hour,0CAQSRR0000000,1
date_mday,0CAQSRR0000000,1
date_minute,0CAQSRR0000000,1
date_month,0CAQSRR0000000,1
date_second,0CAQSRR0000000,1
date_wday,0CAQSRR0000000,1
date_year,0CAQSRR0000000,1
date_zone,0CAQSRR0000000,1
host,0CAQSRR0000000,1
linecount,0CAQSRR0000000,1
punct,0CAQSRR0000000,1
source,0CAQSRR0000000,1
timeendpos,0CAQSRR0000000,1
timestamp,0CAQSRR0000000,0
timestartpos,0CAQSRR0000000,1
,0CATBV30000000,5
date_hour,0CATBV30000000,5
date_mday,0CATBV30000000,5
date_minute,0CATBV30000000,5
date_month,0CATBV30000000,5
date_second,0CATBV30000000,5
date_wday,0CATBV30000000,5
date_year,0CATBV30000000,5
date_zone,0CATBV30000000,5
host,0CATBV30000000,5
linecount,0CATBV30000000,5
punct,0CATBV30000000,5
source,0CATBV30000000,5
timeendpos,0CATBV30000000,5
timestamp,0CATBV30000000,0
timestartpos,0CATBV30000000,5
,0CAVTMN0000000,1
date_hour,0CAVTMN0000000,1
date_mday,0CAVTMN0000000,1
date_minute,0CAVTMN0000000,1
date_month,0CAVTMN0000000,1
date_second,0CAVTMN0000000,1
date_wday,0CAVTMN0000000,1
date_year,0CAVTMN0000000,1
date_zone,0CAVTMN0000000,1
host,0CAVTMN0000000,1
linecount,0CAVTMN0000000,1
punct,0CAVTMN0000000,1
source,0CAVTMN0000000,1
timeendpos,0CAVTMN0000000,1
timestamp,0CAVTMN0000000,0
timestartpos,0CAVTMN0000000,1
,0CB2FEB0000000,6
date_hour,0CB2FEB0000000,6
date_mday,0CB2FEB0000000,6
date_minute,0CB2FEB0000000,6
date_month,0CB2FEB0000000,6
date_second,0CB2FEB0000000,6
date_wday,0CB2FEB0000000,6
date_year,0CB2FEB0000000,6
date_zone,0CB2FEB0000000,6
host,0CB2FEB0000000,6
linecount,0CB2FEB0000000,6
punct,0CB2FEB0000000,6
source,0CB2FEB0000000,6
timeendpos,0CB2FEB0000000,6
timestamp,0CB2FEB0000000,0
timestartpos,0CB2FEB0000000,6
,0CB4P8R0000000,1
date_hour,0CB4P8R0000000,1
date_mday,0CB4P8R0000000,1
date_minute,0CB4P8R0000000,1
date_month,0CB4P8R0000000,1
date_second,0CB4P8R0000000,1
date_wday,0CB4P8R0000000,1
date_year,0CB4P8R0000000,1
date_zone,0CB4P8R0000000,1
host,0CB4P8R0000000,1
linecount,0CB4P8R0000000,1
punct,0CB4P8R0000000,1
source,0CB4P8R0000000,1
timeendpos,0CB4P8R0000000,1
timestamp,0CB4P8R0000000,0
timestartpos,0CB4P8R0000000,1
,0CBHCIMG000000,3
date_hour,0CBHCIMG000000,3
date_mday,0CBHCIMG000000,3
date_minute,0CBHCIMG000000,3
date_month,0CBHCIMG000000,3
date_second,0CBHCIMG000000,3
date_wday,0CBHCIMG000000,3
date_year,0CBHCIMG000000,3
date_zone,0CBHCIMG000000,3
host,0CBHCIMG000000,3
linecount,0CBHCIMG000000,3
punct,0CBHCIMG000000,3
source,0CBHCIMG000000,3
timeendpos,0CBHCIMG000000,3
timestamp,0CBHCIMG000000,0
timestartpos,0CBHCIMG000000,3
,0CBJUAAG000000,1
date_hour,0CBJUAAG000000,1
date_mday,0CBJUAAG000000,1
date_minute,0CBJUAAG000000,1
date_month,0CBJUAAG000000,1
date_second,0CBJUAAG000000,1
date_wday,0CBJUAAG000000,1
date_year,0CBJUAAG000000,1
date_zone,0CBJUAAG000000,1
host,0CBJUAAG000000,1
linecount,0CBJUAAG000000,1
punct,0CBJUAAG000000,1
source,0CBJUAAG000000,1
timeendpos,0CBJUAAG000000,1
timestamp,0CBJUAAG000000,0
timestartpos,0CBJUAAG000000,1
,0CBMDDIG000000,1
date_hour,0CBMDDIG000000,1
date_mday,0CBMDDIG000000,1
date_minute,0CBMDDIG000000,1
date_month,0CBMDDIG000000,1
date_second,0CBMDDIG000000,1
date_wday,0CBMDDIG000000,1
date_year,0CBMDDIG000000,1
date_zone,0CBMDDIG000000,1
host,0CBMDDIG000000,1
linecount,0CBMDDIG000000,1
punct,0CBMDDIG000000,1
source,0CBMDDIG000000,1
timeendpos,0CBMDDIG000000,1
timestamp,0CBMDDIG000000,0
timestartpos,0CBMDDIG000000,1
,0CBOV8N0000000,10
date_hour,0CBOV8N0000000,10
date_mday,0CBOV8N0000000,10
date_minute,0CBOV8N0000000,10
date_month,0CBOV8N0000000,10
date_second,0CBOV8N0000000,10
date_wday,0CBOV8N0000000,10
date_year,0CBOV8N0000000,10
date_zone,0CBOV8N0000000,10
host,0CBOV8N0000000,10
linecount,0CBOV8N0000000,10
punct,0CBOV8N0000000,10
source,0CBOV8N0000000,10
timeendpos,0CBOV8N0000000,10
timestamp,0CBOV8N0000000,0
timestartpos,0CBOV8N0000000,10
,0CBREBV0000000,1
date_hour,0CBREBV0000000,1
date_mday,0CBREBV0000000,1
date_minute,0CBREBV0000000,1
date_month,0CBREBV0000000,1
date_second,0CBREBV0000000,1
date_wday,0CBREBV0000000,1
date_year,0CBREBV0000000,1
date_zone,0CBREBV0000000,1
host,0CBREBV0000000,1
linecount,0CBREBV0000000,1
punct,0CBREBV0000000,1
source,0CBREBV0000000,1
timeendpos,0CBREBV0000000,1
timestamp,0CBREBV0000000,0
timestartpos,0CBREBV0000000,1
,0CBU03J0000000,1
date_hour,0CBU03J0000000,1
date_mday,0CBU03J0000000,1
date_minute,0CBU03J0000000,1
date_month,0CBU03J0000000,1
date_second,0CBU03J0000000,1
date_wday,0CBU03J0000000,1
date_year,0CBU03J0000000,1
date_zone,0CBU03J0000000,1
host,0CBU03J0000000,1
linecount,0CBU03J0000000,1
punct,0CBU03J0000000,1
source,0CBU03J0000000,1
timeendpos,0CBU03J0000000,1
timestamp,0CBU03J0000000,0
timestartpos,0CBU03J0000000,1
,0CC7SD2G000000,17
date_hour,0CC7SD2G000000,17
date_mday,0CC7SD2G000000,17
date_minute,0CC7SD2G000000,17
date_month,0CC7SD2G000000,17
date_second,0CC7SD2G000000,17
date_wday,0CC7SD2G000000,17
date_year,0CC7SD2G000000,17
date_zone,0CC7SD2G000000,17
host,0CC7SD2G000000,17
linecount,0CC7SD2G000000,17
punct,0CC7SD2G000000,17
source,0CC7SD2G000000,17
timeendpos,0CC7SD2G000000,17
timestamp,0CC7SD2G000000,0
timestartpos,0CC7SD2G000000,17
,0CCI0N6G000000,3
date_hour,0CCI0N6G000000,3
date_mday,0CCI0N6G000000,3
date_minute,0CCI0N6G000000,3
date_month,0CCI0N6G000000,3
date_second,0CCI0N6G000000,3
date_wday,0CCI0N6G000000,3
date_year,0CCI0N6G000000,3
date_zone,0CCI0N6G000000,3
host,0CCI0N6G000000,3
linecount,0CCI0N6G000000,3
punct,0CCI0N6G000000,3
source,0CCI0N6G000000,3
timeendpos,0CCI0N6G000000,3
timestamp,0CCI0N6G000000,0
timestartpos,0CCI0N6G000000,3
,0CCN1LJ0000000,1
date_hour,0CCN1LJ0000000,1
date_mday,0CCN1LJ0000000,1
date_minute,0CCN1LJ0000000,1
date_month,0CCN1LJ0000000,1
date_second,0CCN1LJ0000000,1
date_wday,0CCN1LJ0000000,1
date_year,0CCN1LJ0000000,1
date_zone,0CCN1LJ0000000,1
host,0CCN1LJ0000000,1
linecount,0CCN1LJ0000000,1
punct,0CCN1LJ0000000,1
source,0CCN1LJ0000000,1
timeendpos,0CCN1LJ0000000,1
timestamp,0CCN1LJ0000000,0
timestartpos,0CCN1LJ0000000,1
,0CCUK830000000,4
date_hour,0CCUK830000000,4
date_mday,0CCUK830000000,4
date_minute,0CCUK830000000,4
date_month,0CCUK830000000,4
date_second,0CCUK830000000,4
date_wday,0CCUK830000000,4
date_year,0CCUK830000000,4
date_zone,0CCUK830000000,4
host,0CCUK830000000,4
linecount,0CCUK830000000,4
punct,0CCUK830000000,4
source,0CCUK830000000,4
timeendpos,0CCUK830000000,4
timestamp,0CCUK830000000,0
timestartpos,0CCUK830000000,4
,0CD0U2J0000000,25
date_hour,0CD0U2J0000000,25
date_mday,0CD0U2J0000000,25
date_minute,0CD0U2J0000000,25
date_month,0CD0U2J0000000,25
date_second,0CD0U2J0000000,25
date_wday,0CD0U2J0000000,25
date_year,0CD0U2J0000000,25
date_zone,0CD0U2J0000000,25
host,0CD0U2J0000000,25
linecount,0CD0U2J0000000,25
punct,0CD0U2J0000000,25
source,0CD0U2J0000000,25
timeendpos,0CD0U2J0000000,25
timestamp,0CD0U2J0000000,0
timestartpos,0CD0U2J0000000,25
,0CDDHCEG000000,1
date_hour,0CDDHCEG000000,1
