key,value,count,ncount,complete,min,max,sum,sumsq
,,1,,,,,,
"date_hour",,1,1,1,14,14,14.000000,196.000000
,14,1,,1,,,,
"date_mday",,1,1,1,19,19,19.000000,361.000000
,19,1,,1,,,,
"date_minute",,1,1,1,30,30,30.000000,900.000000
,30,1,,1,,,,
"date_month",,1,,1,,,,
,october,1,,1,,,,
"date_second",,1,1,1,0,0,0.000000,0.000000
,0,1,,1,,,,
"date_wday",,1,,1,,,,
,saturday,1,,1,,,,
"date_year",,1,1,1,2024,2024,2024.000000,4096576.000000
,2024,1,,1,,,,
"date_zone",,1,,1,,,,
,local,1,,1,,,,
host,,1,,1,,,,
,"BEER-PC01",1,,1,,,,
linecount,,1,1,1,62,62,62.000000,3844.000000
,62,1,,1,,,,
punct,,1,,1,,,,
,",,//_::_,___,,_,_,,,,,,,,,,,,//_::_,.,-.,""(.,_-.)""",1,,1,,,,
source,,1,,1,,,,
,"C:\Program Files\Splunk\var\run\splunk\dispatch\1749646464.1049\Crimes_-_2001_to_Present.csv.001",1,,1,,,,
timeendpos,,1,1,1,41,41,41.000000,1681.000000
,41,1,,1,,,,
timestartpos,,1,1,1,0,0,0.000000,0.000000
,0,1,,1,,,,
