2023-11-21 14:27:21,402 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: embed_uri (str): 
2023-11-21 14:27:21,403 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: enableSearchJobXslt (bool): True
2023-11-21 14:27:21,403 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: enableSplunkWebClientNetloc (bool): False
2023-11-21 14:27:21,403 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: enableSplunkWebSSL (bool): False
2023-11-21 14:27:21,403 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: enableWebDebug (bool): False
2023-11-21 14:27:21,403 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: enable_autocomplete_login (bool): False
2023-11-21 14:27:21,403 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: enable_gzip (bool): True
2023-11-21 14:27:21,403 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: enable_insecure_login (bool): False
2023-11-21 14:27:21,403 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: enable_insecure_pdfgen (bool): False
2023-11-21 14:27:21,403 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: enable_pivot_adhoc_acceleration (bool): True
2023-11-21 14:27:21,403 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: enable_proxy_write (bool): True
2023-11-21 14:27:21,403 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: enable_risky_command_check (bool): True
2023-11-21 14:27:21,403 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: enable_secure_entity_move (bool): True
2023-11-21 14:27:21,403 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: enabled_decomposers (str): plot
2023-11-21 14:27:21,403 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: engine.autoreload.on (bool): False
2023-11-21 14:27:21,404 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: error_page.default (method): <bound method ErrorController.handle_error of <splunk.appserver.mrsparkle.controllers.error.ErrorController object at 0x000001C93DD6D808>>
2023-11-21 14:27:21,404 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: etc_path (str): C:\Program Files\Splunk\etc
2023-11-21 14:27:21,404 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: flash_major_version (int): 9
2023-11-21 14:27:21,404 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: flash_minor_version (int): 0
2023-11-21 14:27:21,404 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: flash_revision_version (int): 124
2023-11-21 14:27:21,404 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: forceHttp10 (str): auto
2023-11-21 14:27:21,404 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: guid (NoneType): None
2023-11-21 14:27:21,404 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: httpport (int): 8065
2023-11-21 14:27:21,404 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: includeSubDomains (bool): False
2023-11-21 14:27:21,405 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: install_type (str): UNKNOWN_INSTALL_TYPE
2023-11-21 14:27:21,405 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: instance_type (str): splunk
2023-11-21 14:27:21,405 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: is_forwarder_license (bool): False
2023-11-21 14:27:21,405 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: is_free_license (bool): False
2023-11-21 14:27:21,405 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: is_trial_license (bool): True
2023-11-21 14:27:21,405 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: job_max_polling_interval (int): 1000
2023-11-21 14:27:21,405 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: job_min_polling_interval (int): 100
2023-11-21 14:27:21,405 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: js_logger_mode (str): None
2023-11-21 14:27:21,405 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: js_logger_mode_server_end_point (str): util/log/js
2023-11-21 14:27:21,405 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: js_logger_mode_server_max_buffer (int): 100
2023-11-21 14:27:21,405 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: js_logger_mode_server_poll_buffer (int): 1000
2023-11-21 14:27:21,405 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: jschart_results_limit (int): 10000
2023-11-21 14:27:21,405 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: jschart_series_limit (int): 100
2023-11-21 14:27:21,406 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: jschart_test_mode (bool): False
2023-11-21 14:27:21,406 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: jschart_truncation_limit.chrome (int): 50000
2023-11-21 14:27:21,406 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: jschart_truncation_limit.firefox (int): 50000
2023-11-21 14:27:21,406 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: jschart_truncation_limit.ie11 (int): 50000
2023-11-21 14:27:21,406 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: jschart_truncation_limit.safari (int): 50000
2023-11-21 14:27:21,406 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: keepAliveIdleTimeout (int): 7200
2023-11-21 14:27:21,406 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: license_desc (str): UNKNOWN_LICENSE_DESCRIPTION
2023-11-21 14:27:21,406 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: license_labels (list): []
2023-11-21 14:27:21,406 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: license_state (str): OK
2023-11-21 14:27:21,406 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: listenOnIPv6 (bool): False
2023-11-21 14:27:21,406 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: log.access_maxfiles (int): 5
2023-11-21 14:27:21,406 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: log.access_maxsize (int): 25000000
2023-11-21 14:27:21,406 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: log.error_maxfiles (int): 5
2023-11-21 14:27:21,407 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: log.error_maxsize (int): 25000000
2023-11-21 14:27:21,407 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: log.screen (bool): True
2023-11-21 14:27:21,407 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: loginBackgroundImageOption (str): default
2023-11-21 14:27:21,407 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: loginCustomBackgroundImage (str): 
