key,value,count,ncount,complete,min,max,sum,sumsq
,,194,,,,,,
Arrest,,194,,1,,,,
,true,50,,1,,,,
,false,144,,1,,,,
Beat,,194,194,0,0111,2534,215842.000000,321920620.000000
,0111,1,,1,,,,
,0112,1,,1,,,,
,0114,2,,1,,,,
,0122,1,,1,,,,
,0131,2,,1,,,,
,0132,1,,1,,,,
,0213,1,,1,,,,
,0214,2,,1,,,,
,0221,1,,1,,,,
,0225,5,,1,,,,
,0235,2,,1,,,,
,0311,4,,1,,,,
,0314,1,,1,,,,
,0323,2,,1,,,,
,0324,2,,1,,,,
,0331,1,,1,,,,
,0332,3,,1,,,,
,0411,4,,1,,,,
,0412,1,,1,,,,
,0413,2,,1,,,,
,0414,1,,1,,,,
,0421,1,,1,,,,
,0434,1,,1,,,,
,0512,1,,1,,,,
,0513,3,,1,,,,
,0533,1,,1,,,,
,0611,1,,1,,,,
,0613,1,,1,,,,
,0621,3,,1,,,,
,0624,2,,1,,,,
,0631,1,,1,,,,
,0632,1,,1,,,,
,0722,1,,1,,,,
,0735,1,,1,,,,
,0811,1,,1,,,,
,0812,1,,1,,,,
,0814,1,,1,,,,
,0815,2,,1,,,,
,0821,1,,1,,,,
,0822,1,,1,,,,
,0823,1,,1,,,,
,0825,3,,1,,,,
,0832,1,,1,,,,
,0912,2,,1,,,,
,0915,2,,1,,,,
,0931,2,,1,,,,
,0934,1,,1,,,,
,0935,1,,1,,,,
,1013,3,,1,,,,
,1014,1,,1,,,,
,1022,1,,1,,,,
,1032,2,,1,,,,
,1033,1,,1,,,,
,1034,1,,1,,,,
,1111,3,,1,,,,
,1112,3,,1,,,,
,1115,1,,1,,,,
,1121,2,,1,,,,
,1123,3,,1,,,,
,1124,2,,1,,,,
,1133,2,,1,,,,
,1134,6,,1,,,,
,1212,1,,1,,,,
,1215,1,,1,,,,
,1223,3,,1,,,,
,1232,1,,1,,,,
,1234,2,,1,,,,
,1235,1,,1,,,,
,1411,1,,1,,,,
,1421,1,,1,,,,
,1424,1,,1,,,,
,1432,1,,1,,,,
,1433,1,,1,,,,
,1512,1,,1,,,,
,1522,2,,1,,,,
,1523,1,,1,,,,
,1524,1,,1,,,,
,1532,2,,1,,,,
,1611,2,,1,,,,
,1614,2,,1,,,,
,1621,2,,1,,,,
,1622,1,,1,,,,
,1624,2,,1,,,,
,1653,3,,1,,,,
,1711,1,,1,,,,
,1712,1,,1,,,,
,1722,2,,1,,,,
,1731,1,,1,,,,
,1823,2,,1,,,,
,1832,1,,1,,,,
,1833,2,,1,,,,
,1834,2,,1,,,,
,1912,1,,1,,,,
,1915,1,,1,,,,
,1923,1,,1,,,,
,1924,3,,1,,,,
,1932,1,,1,,,,
,1933,3,,1,,,,
,1934,1,,1,,,,
,2013,2,,1,,,,
Block,,194,,0,,,,
,"021XX S OAKLEY AVE",1,,1,,,,
,"021XX S RACINE AVE",1,,1,,,,
,"010XX N MONTICELLO AVE",2,,1,,,,
,"001XX W 103RD PL",1,,1,,,,
,"001XX W HURON ST",1,,1,,,,
,"031XX S SHIELDS AVE",1,,1,,,,
,"001XX N MASON AVE",1,,1,,,,
,"008XX N MICHIGAN AVE",2,,1,,,,
,"028XX N ELSTON AVE",1,,1,,,,
,"022XX W NORTH AVE",1,,1,,,,
,"075XX S STONY ISLAND AVE",4,,1,,,,
,"005XX W DIVISION ST",1,,1,,,,
,"013XX W LAKE ST",1,,1,,,,
,"003XX W 51ST PL",1,,1,,,,
,"042XX S VINCENNES AVE",1,,1,,,,
,"011XX N LOCKWOOD AVE",1,,1,,,,
,"003XX S CENTRAL AVE",1,,1,,,,
,"043XX W MONROE ST",1,,1,,,,
,"043XX W THOMAS ST",1,,1,,,,
,"038XX S UNION AVE",1,,1,,,,
,"014XX E 68TH ST",1,,1,,,,
,"014XX E 70TH ST",1,,1,,,,
,"014XX E 71ST PL",1,,1,,,,
,"032XX W MAYPOLE AVE",3,,1,,,,
,"061XX S WABASH AVE",3,,1,,,,
,"041XX S DREXEL BLVD",1,,1,,,,
,"043XX S PULASKI RD",1,,1,,,,
,"0000X E MONROE ST",1,,1,,,,
,"041XX W CERMAK RD",1,,1,,,,
,"016XX N KILDARE AVE",1,,1,,,,
,"036XX S HONORE ST",2,,1,,,,
,"054XX S WENTWORTH AVE",5,,1,,,,
,"035XX W 51ST ST",1,,1,,,,
,"025XX W 64TH ST",1,,1,,,,
,"009XX W BELMONT AVE",1,,1,,,,
,"008XX W BUENA AVE",1,,1,,,,
,"010XX W OAKDALE AVE",1,,1,,,,
,"018XX S LEAVITT ST",1,,1,,,,
,"041XX N GREENVIEW AVE",1,,1,,,,
,"001XX S CALIFORNIA AVE",1,,1,,,,
,"004XX N WABASH AVE",2,,1,,,,
,"022XX W MADISON ST",1,,1,,,,
,"036XX W POLK ST",1,,1,,,,
,"028XX S CHRISTIANA AVE",1,,1,,,,
,"006XX N HOMAN AVE",1,,1,,,,
,"016XX E 69TH ST",1,,1,,,,
,"026XX N LINCOLN AVE",1,,1,,,,
,"015XX N PAULINA ST",1,,1,,,,
,"027XX W 26TH ST",1,,1,,,,
,"020XX W DICKENS AVE",1,,1,,,,
,"0000X N WESTERN AVE",1,,1,,,,
,"017XX W 80TH ST",1,,1,,,,
,"014XX W BELMONT AVE",1,,1,,,,
,"007XX E 81ST ST",1,,1,,,,
,"003XX W CHESTNUT ST",1,,1,,,,
,"0000X W CHECKPOINT 7 ST",3,,1,,,,
,"038XX W 61ST PL",1,,1,,,,
,"028XX W 23RD PL",1,,1,,,,
,"008XX E 46TH ST",1,,1,,,,
,"008XX E 88TH PL",1,,1,,,,
,"035XX W CHICAGO AVE",1,,1,,,,
,"019XX N ALBANY AVE",1,,1,,,,
,"044XX W OGDEN AVE",2,,1,,,,
