key,value,count,ncount,complete,min,max,sum,sumsq
,,59,,,,,,
Arrest,,59,,1,,,,
,true,9,,1,,,,
,false,50,,1,,,,
Beat,,59,59,1,0123,2433,73109.000000,114497363.000000
,0123,1,,1,,,,
,0131,1,,1,,,,
,0215,1,,1,,,,
,0221,1,,1,,,,
,0225,1,,1,,,,
,0323,1,,1,,,,
,0411,1,,1,,,,
,0413,1,,1,,,,
,0431,1,,1,,,,
,0433,1,,1,,,,
,0434,1,,1,,,,
,0511,1,,1,,,,
,0532,1,,1,,,,
,0623,1,,1,,,,
,0711,1,,1,,,,
,0811,1,,1,,,,
,0815,1,,1,,,,
,0821,1,,1,,,,
,0921,1,,1,,,,
,1014,1,,1,,,,
,1031,3,,1,,,,
,1033,1,,1,,,,
,1111,1,,1,,,,
,1112,1,,1,,,,
,1132,1,,1,,,,
,1135,1,,1,,,,
,1224,1,,1,,,,
,1234,1,,1,,,,
,1413,1,,1,,,,
,1421,1,,1,,,,
,1422,3,,1,,,,
,1424,1,,1,,,,
,1511,1,,1,,,,
,1513,1,,1,,,,
,1622,1,,1,,,,
,1653,3,,1,,,,
,1712,1,,1,,,,
,1724,1,,1,,,,
,1731,1,,1,,,,
,1733,1,,1,,,,
,1811,1,,1,,,,
,1822,1,,1,,,,
,1911,1,,1,,,,
,1921,1,,1,,,,
,1924,1,,1,,,,
,1932,1,,1,,,,
,1933,1,,1,,,,
,1934,1,,1,,,,
,2211,1,,1,,,,
,2232,1,,1,,,,
,2411,1,,1,,,,
,2412,1,,1,,,,
,2433,1,,1,,,,
Block,,59,,1,,,,
,"021XX N SPAULDING AVE",1,,1,,,,
,"061XX N WINTHROP AVE",1,,1,,,,
,"129XX S CARONDOLET AVE",1,,1,,,,
,"022XX W GIDDINGS ST",1,,1,,,,
,"044XX S MICHIGAN AVE",1,,1,,,,
,"052XX N CHRISTIANA AVE",1,,1,,,,
,"053XX S MAYFIELD AVE",1,,1,,,,
,"095XX S MANISTEE AVE",1,,1,,,,
,"110XX S ALBANY AVE",1,,1,,,,
,"075XX S STONY ISLAND AVE",1,,1,,,,
,"013XX N MILWAUKEE AVE",1,,1,,,,
,"032XX S PULASKI RD",1,,1,,,,
,"027XX W ROOSEVELT RD",1,,1,,,,
,"014XX W ALTGELD ST",1,,1,,,,
,"043XX W THOMAS ST",1,,1,,,,
,"057XX S PRINCETON AVE",1,,1,,,,
,"032XX W LE MOYNE ST",1,,1,,,,
,"0000X S MASON AVE",1,,1,,,,
,"041XX W SCHOOL ST",1,,1,,,,
,"054XX S WENTWORTH AVE",1,,1,,,,
,"072XX S MICHIGAN AVE",1,,1,,,,
,"0000X W TERMINAL ST",1,,1,,,,
,"009XX W BELMONT AVE",1,,1,,,,
,"010XX W RANDOLPH ST",1,,1,,,,
,"074XX N WASHTENAW AVE",1,,1,,,,
,"019XX N MAUD AVE",1,,1,,,,
,"100XX S MORGAN ST",1,,1,,,,
,"056XX N MILWAUKEE AVE",1,,1,,,,
,"051XX S KEELER AVE",1,,1,,,,
,"033XX W CRYSTAL ST",1,,1,,,,
,"0000X E 119TH ST",1,,1,,,,
,"027XX W 42ND ST",1,,1,,,,
,"030XX S AVERS AVE",1,,1,,,,
,"0000X W CHECKPOINT 7 ST",2,,1,,,,
