key,value,count,ncount,complete,min,max,sum,sumsq
,,123,,,,,,
Arrest,,123,,1,,,,
,true,28,,1,,,,
,false,95,,1,,,,
Beat,,123,123,1,0112,2535,131998.000000,201971724.000000
,0112,4,,1,,,,
,0122,1,,1,,,,
,0124,2,,1,,,,
,0214,1,,1,,,,
,0223,1,,1,,,,
,0224,1,,1,,,,
,0225,1,,1,,,,
,0231,1,,1,,,,
,0234,1,,1,,,,
,0314,2,,1,,,,
,0321,1,,1,,,,
,0323,1,,1,,,,
,0324,1,,1,,,,
,0331,2,,1,,,,
,0334,1,,1,,,,
,0411,5,,1,,,,
,0414,2,,1,,,,
,0421,1,,1,,,,
,0512,1,,1,,,,
,0513,1,,1,,,,
,0531,1,,1,,,,
,0612,3,,1,,,,
,0614,1,,1,,,,
,0621,1,,1,,,,
,0623,1,,1,,,,
,0624,3,,1,,,,
,0631,1,,1,,,,
,0634,1,,1,,,,
,0711,1,,1,,,,
,0713,1,,1,,,,
,0714,2,,1,,,,
,0723,1,,1,,,,
,0725,1,,1,,,,
,0733,1,,1,,,,
,0734,1,,1,,,,
,0735,1,,1,,,,
,0811,1,,1,,,,
,0821,1,,1,,,,
,0823,3,,1,,,,
,0825,1,,1,,,,
,0831,1,,1,,,,
,0832,1,,1,,,,
,0834,2,,1,,,,
,0924,1,,1,,,,
,0933,1,,1,,,,
,1021,1,,1,,,,
,1032,2,,1,,,,
,1033,1,,1,,,,
,1112,3,,1,,,,
,1113,2,,1,,,,
,1115,1,,1,,,,
,1121,3,,1,,,,
,1132,1,,1,,,,
,1212,1,,1,,,,
,1213,3,,1,,,,
,1222,1,,1,,,,
,1223,1,,1,,,,
,1233,1,,1,,,,
,1421,1,,1,,,,
,1422,1,,1,,,,
,1424,2,,1,,,,
,1513,1,,1,,,,
,1532,1,,1,,,,
,1533,1,,1,,,,
,1613,1,,1,,,,
,1622,1,,1,,,,
,1634,1,,1,,,,
,1712,1,,1,,,,
,1723,1,,1,,,,
,1733,1,,1,,,,
,1824,2,,1,,,,
,1834,3,,1,,,,
,1921,1,,1,,,,
,1924,1,,1,,,,
,1931,1,,1,,,,
,1935,1,,1,,,,
,2013,2,,1,,,,
,2212,1,,1,,,,
,2221,1,,1,,,,
,2223,1,,1,,,,
,2422,2,,1,,,,
,2424,2,,1,,,,
,2431,1,,1,,,,
,2513,1,,1,,,,
,2514,1,,1,,,,
,2521,2,,1,,,,
,2535,2,,1,,,,
Block,,123,,0,,,,
,"047XX W MONROE ST",2,,1,,,,
,"053XX S DR MARTIN LUTHER KING JR DR",1,,1,,,,
,"001XX S STATE ST",1,,1,,,,
,"001XX W 108TH ST",1,,1,,,,
,"021XX W MELROSE ST",1,,1,,,,
,"073XX S DAMEN AVE",1,,1,,,,
,"050XX S LAFLIN ST",1,,1,,,,
,"059XX N GLENWOOD AVE",2,,1,,,,
,"006XX N ST CLAIR ST",1,,1,,,,
,"062XX S FRANCISCO AVE",1,,1,,,,
,"018XX W MONTEREY AVE",1,,1,,,,
,"075XX S STONY ISLAND AVE",3,,1,,,,
,"013XX N MILWAUKEE AVE",1,,1,,,,
,"050XX N MONITOR AVE",1,,1,,,,
,"037XX W CHICAGO AVE",1,,1,,,,
,"034XX W 64TH PL",1,,1,,,,
,"018XX S CENTRAL PARK AVE",1,,1,,,,
,"015XX N HOMAN AVE",1,,1,,,,
,"014XX W 18TH ST",1,,1,,,,
,"027XX S TRUMBULL AVE",1,,1,,,,
,"078XX S LANGLEY AVE",1,,1,,,,
,"078XX S PRAIRIE AVE",1,,1,,,,
,"069XX N ASHLAND BLVD",1,,1,,,,
,"0000X S MASON AVE",1,,1,,,,
,"0000X W MONROE ST",2,,1,,,,
,"054XX S WENTWORTH AVE",1,,1,,,,
,"072XX S PHILLIPS AVE",1,,1,,,,
,"025XX W 63RD ST",1,,1,,,,
,"009XX W BELMONT AVE",1,,1,,,,
,"015XX E 53RD ST",1,,1,,,,
,"062XX S HONORE ST",1,,1,,,,
,"066XX S WOOD ST",1,,1,,,,
,"004XX N WABASH AVE",2,,1,,,,
,"010XX N WINCHESTER AVE",1,,1,,,,
,"040XX W MADISON ST",1,,1,,,,
,"079XX S CICERO AVE",1,,1,,,,
,"045XX S WOLCOTT AVE",1,,1,,,,
,"016XX E 79TH ST",1,,1,,,,
,"026XX N CENTRAL AVE",1,,1,,,,
,"031XX W WARREN BLVD",1,,1,,,,
