key,value,count,ncount,complete,min,max,sum,sumsq
,,76,,,,,,
Arrest,,76,,1,,,,
,true,17,,1,,,,
,false,59,,1,,,,
Beat,,76,76,1,0111,2535,86942.000000,133211262.000000
,0111,1,,1,,,,
,0114,1,,1,,,,
,0122,1,,1,,,,
,0123,1,,1,,,,
,0131,1,,1,,,,
,0132,1,,1,,,,
,0225,1,,1,,,,
,0313,1,,1,,,,
,0333,1,,1,,,,
,0411,3,,1,,,,
,0424,2,,1,,,,
,0513,1,,1,,,,
,0523,1,,1,,,,
,0532,2,,1,,,,
,0623,1,,1,,,,
,0711,1,,1,,,,
,0713,1,,1,,,,
,0733,1,,1,,,,
,0813,1,,1,,,,
,0825,1,,1,,,,
,0831,3,,1,,,,
,0832,1,,1,,,,
,0834,2,,1,,,,
,0933,4,,1,,,,
,0934,1,,1,,,,
,1011,1,,1,,,,
,1012,1,,1,,,,
,1021,1,,1,,,,
,1031,1,,1,,,,
,1115,1,,1,,,,
,1121,1,,1,,,,
,1131,1,,1,,,,
,1132,2,,1,,,,
,1214,1,,1,,,,
,1221,1,,1,,,,
,1225,1,,1,,,,
,1231,1,,1,,,,
,1232,1,,1,,,,
,1235,1,,1,,,,
,1412,1,,1,,,,
,1432,2,,1,,,,
,1433,1,,1,,,,
,1522,1,,1,,,,
,1622,2,,1,,,,
,1624,1,,1,,,,
,1712,1,,1,,,,
,1722,1,,1,,,,
,1821,1,,1,,,,
,1822,1,,1,,,,
,1832,1,,1,,,,
,1914,1,,1,,,,
,1922,1,,1,,,,
,1934,1,,1,,,,
,2024,1,,1,,,,
,2221,1,,1,,,,
,2223,1,,1,,,,
,2232,1,,1,,,,
,2234,1,,1,,,,
,2411,1,,1,,,,
,2413,1,,1,,,,
,2432,1,,1,,,,
,2513,1,,1,,,,
,2535,1,,1,,,,
Block,,76,,1,,,,
,"053XX W MADISON ST",1,,1,,,,
,"053XX W WARNER AVE",1,,1,,,,
,"066XX N ASHLAND AVE",1,,1,,,,
,"001XX W HURON ST",1,,1,,,,
,"043XX W 16TH ST",1,,1,,,,
,"043XX W 26TH ST",1,,1,,,,
,"121XX S INDIANA AVE",1,,1,,,,
,"004XX W EVERGREEN AVE",1,,1,,,,
,"079XX S DR MARTIN LUTHER KING JR DR",1,,1,,,,
,"046XX N KASSON AVE",1,,1,,,,
,"017XX N MERRIMAC AVE",1,,1,,,,
,"045XX W FIFTH AVE",1,,1,,,,
,"049XX N KENMORE AVE",1,,1,,,,
,"075XX S STONY ISLAND AVE",2,,1,,,,
,"003XX W 63RD ST",1,,1,,,,
,"001XX W WASHINGTON ST",1,,1,,,,
,"064XX S CLAREMONT AVE",1,,1,,,,
,"021XX W JACKSON BLVD",1,,1,,,,
,"092XX S PEORIA ST",1,,1,,,,
,"090XX S HOUSTON AVE",1,,1,,,,
,"054XX S WENTWORTH AVE",1,,1,,,,
,"060XX N RICHMOND ST",1,,1,,,,
,"003XX N MICHIGAN AVE",1,,1,,,,
,"072XX S KEDZIE AVE",1,,1,,,,
,"072XX S OAKLEY AVE",1,,1,,,,
,"062XX S EVANS AVE",1,,1,,,,
,"037XX W ROOSEVELT RD",1,,1,,,,
,"057XX S BISHOP ST",1,,1,,,,
,"035XX N GREENVIEW AVE",1,,1,,,,
,"011XX W CERMAK RD",1,,1,,,,
,"029XX W MORSE AVE",1,,1,,,,
,"006XX S LAFLIN ST",1,,1,,,,
,"027XX N CENTRAL PARK AVE",1,,1,,,,
,"023XX W FULLERTON AVE",1,,1,,,,
,"083XX S KENTON AVE",1,,1,,,,
,"065XX S ALBANY AVE",1,,1,,,,
,"029XX N HALSTED ST",1,,1,,,,
,"015XX N PAULINA ST",1,,1,,,,
,"0000X E 121ST PL",1,,1,,,,
,"037XX W 81ST ST",1,,1,,,,
,"051XX S MAY ST",1,,1,,,,
,"087XX S HERMITAGE AVE",1,,1,,,,
,"082XX S DORCHESTER AVE",1,,1,,,,
,"008XX S KARLOV AVE",1,,1,,,,
,"069XX S MAY ST",1,,1,,,,
,"002XX W SOUTH WATER MARKET ST",1,,1,,,,
,"049XX W 64TH ST",1,,1,,,,
,"0000X S PULASKI RD",1,,1,,,,
,"023XX N LISTER AVE",1,,1,,,,
,"128XX S PARNELL AVE",1,,1,,,,
