0	10	  9958	1751278022	1751278821	1751278822	
1	sourcetype::splunkd	  7910	1751278022	1751278821	1751278822	
2	sourcetype::scheduler	 11	1751278080	1751278818	1751278820	
3	sourcetype::mongod	339	1751278072	1751278816	1751278817	
4	sourcetype::splunkd_conf	  1	1751278072	1751278072	1751278082	
5	sourcetype::splunkd_access	694	1751278082	1751278807	1751278808	
6	sourcetype::splunk_python	362	1751278086	1751278809	1751278810	
7	sourcetype::splunk_web_service	370	1751278086	1751278809	1751278810	
8	sourcetype::splunk_web_access	 76	1751278092	1751278770	1751278773	
9	sourcetype::splunkd_ui_access	189	1751278092	1751278798	1751278799	
10	sourcetype::splunk_search_messages	  6	1751278132	1751278132	1751278132	
