et,lt,count,available,complete
1575151200.000,1577829600.000,600,600,1
1577829600.000,1580508000.000,395,395,1
1580508000.000,1583013600.000,709,709,1
1583013600.000,1585688400.000,868,868,1
1585688400.000,1588280400.000,37,37,1
1588280400.000,1590958800.000,128,128,1
1590958800.000,1593550800.000,176,176,1
1593550800.000,1596229200.000,337,337,1
1596229200.000,1598907600.000,321,321,1
1598907600.000,1601499600.000,137,137,1
1601499600.000,1604181600.000,242,242,1
1604181600.000,1606773600.000,478,478,1
1606773600.000,1609452000.000,374,374,1
1609452000.000,1612130400.000,188,188,1
1612130400.000,1614549600.000,171,171,1
1614549600.000,1617224400.000,185,185,1
1617224400.000,1619816400.000,403,403,1
1619816400.000,1622494800.000,154,154,1
1622494800.000,1625086800.000,89,89,1
1625086800.000,1627765200.000,91,91,1
1627765200.000,1630443600.000,180,180,1
1630443600.000,1633035600.000,155,155,1
1633035600.000,1635717600.000,119,119,1
1635717600.000,1638309600.000,137,137,1
1638309600.000,1640988000.000,105,105,1
1640988000.000,1643666400.000,194,194,1
1643666400.000,1646085600.000,139,139,1
1646085600.000,1648760400.000,111,111,1
1648760400.000,1651352400.000,147,147,1
1651352400.000,1654030800.000,76,76,1
1654030800.000,1656622800.000,0,0,1
1656622800.000,1659301200.000,92,92,1
1659301200.000,1661979600.000,190,190,1
1661979600.000,1664571600.000,159,159,1
1664571600.000,1667253600.000,57,57,1
1667253600.000,1669845600.000,66,66,1
1669845600.000,1672524000.000,59,59,1
1672524000.000,1675202400.000,21,21,1
1675202400.000,1677621600.000,123,123,1
1677621600.000,1680296400.000,28,28,1
1680296400.000,1682888400.000,0,0,1
1682888400.000,1685566800.000,0,0,1
1685566800.000,1688158800.000,101,101,1
1688158800.000,1690837200.000,0,0,1
1690837200.000,1693515600.000,2,2,1
1693515600.000,1696107600.000,5,5,1
1696107600.000,1698789600.000,156,156,1
1698789600.000,1701381600.000,94,94,1
1701381600.000,1704060000.000,2,2,1
1704060000.000,1706738400.000,0,0,1
1706738400.000,1709244000.000,0,0,1
1709244000.000,1711918800.000,5,5,1
1711918800.000,1714510800.000,0,0,1
1714510800.000,1717189200.000,0,0,1
1717189200.000,1719781200.000,98,98,1
1719781200.000,1722459600.000,9,9,1
1722459600.000,1725138000.000,21,21,1
1725138000.000,1727730000.000,88,88,1
1727730000.000,1730412000.000,164,164,1
1730412000.000,1733004000.000,28,28,1
1733004000.000,1735682400.000,59,59,1
1735682400.000,1738360800.000,117,117,1
1738360800.000,1740780000.000,69,69,1
1740780000.000,1743454800.000,7,7,1
1743454800.000,1746046800.000,9,9,1
1746046800.000,1748725200.000,76,76,1
1748725200.000,1751317200.000,29,29,1
