key,value,count,ncount,complete,min,max,sum,sumsq
,,394,,,,,,
019,,394,394,1,001,025,4746.000000,77590.000000
,001,7,,1,,,,
,002,42,,1,,,,
,003,12,,1,,,,
,004,20,,1,,,,
,005,13,,1,,,,
,006,9,,1,,,,
,007,26,,1,,,,
,008,22,,1,,,,
,009,17,,1,,,,
,010,9,,1,,,,
,011,20,,1,,,,
,012,17,,1,,,,
,014,19,,1,,,,
,015,23,,1,,,,
,016,18,,1,,,,
,017,12,,1,,,,
,018,23,,1,,,,
,019,30,,1,,,,
,020,6,,1,,,,
,022,7,,1,,,,
,024,16,,1,,,,
,025,26,,1,,,,
"01_05_2001 08_58_49 PM",,394,,0,,,,
,"01/08/2001 06:15:00 PM",2,,0,,,,
,"01/08/2001 09:00:00 AM",2,,0,,,,
,"01/02/2001 08:40:03 PM",1,,1,,,,
,"01/02/2001 10:55:20 AM",1,,1,,,,
,"01/02/2001 10:57:19 PM",1,,1,,,,
,"01/02/2001 11:00:00 AM",1,,1,,,,
,"01/02/2001 11:00:00 PM",1,,1,,,,
,"01/02/2001 11:47:10 PM",1,,1,,,,
,"01/11/2001 02:00:00 PM",2,,0,,,,
,"01/11/2001 02:30:00 PM",2,,0,,,,
,"01/11/2001 03:00:00 PM",3,,0,,,,
,"01/11/2001 03:30:00 PM",4,,0,,,,
,"01/11/2001 04:00:00 PM",2,,0,,,,
,"01/11/2001 06:00:00 PM",4,,0,,,,
,"01/11/2001 06:20:00 PM",2,,0,,,,
,"01/11/2001 07:30:00 AM",2,,0,,,,
,"01/11/2001 08:00:00 PM",2,,0,,,,
,"01/11/2001 08:30:00 AM",2,,0,,,,
,"01/11/2001 08:30:00 PM",2,,0,,,,
,"01/11/2001 09:00:00 AM",3,,0,,,,
,"01/11/2001 10:00:00 AM",2,,0,,,,
,"01/11/2001 11:30:00 AM",3,,0,,,,
,"01/11/2001 12:00:00 PM",5,,0,,,,
,"01/09/2001 10:00:00 PM",2,,0,,,,
,"01/03/2001 04:00:00 PM",2,,1,,,,
,"01/03/2001 05:30:00 PM",1,,1,,,,
,"01/03/2001 06:00:00 PM",1,,1,,,,
,"01/03/2001 07:30:00 PM",2,,1,,,,
,"01/03/2001 10:00:00 PM",1,,1,,,,
,"01/04/2001 01:38:53 PM",1,,1,,,,
,"01/04/2001 03:30:00 PM",1,,1,,,,
,"01/04/2001 04:00:00 PM",2,,0,,,,
,"01/04/2001 07:00:00 PM",1,,1,,,,
,"01/04/2001 08:40:00 PM",1,,1,,,,
,"01/04/2001 11:10:54 AM",1,,1,,,,
,"01/04/2001 11:11:31 PM",1,,1,,,,
,"01/05/2001 01:05:12 PM",1,,1,,,,
,"01/05/2001 01:40:00 PM",1,,1,,,,
,"01/05/2001 02:15:00 PM",1,,1,,,,
,"01/05/2001 03:00:00 AM",1,,1,,,,
,"01/05/2001 03:38:10 PM",1,,1,,,,
,"01/05/2001 04:00:00 PM",1,,1,,,,
,"01/05/2001 04:30:00 AM",1,,1,,,,
,"01/05/2001 05:00:00 PM",1,,1,,,,
,"01/05/2001 06:05:00 PM",1,,1,,,,
,"01/05/2001 06:30:00 PM",1,,1,,,,
,"01/05/2001 07:00:00 PM",1,,1,,,,
,"01/05/2001 08:00:00 AM",1,,1,,,,
,"01/05/2001 08:00:00 PM",1,,1,,,,
,"01/05/2001 09:00:00 PM",1,,1,,,,
,"01/05/2001 10:30:00 AM",1,,1,,,,
,"01/05/2001 11:00:00 AM",1,,1,,,,
,"01/05/2001 11:00:00 PM",1,,1,,,,
,"01/05/2001 11:30:00 AM",1,,1,,,,
,"01/05/2001 11:30:00 PM",1,,1,,,,
,"01/05/2001 12:45:00 PM",1,,1,,,,
,"01/05/2001 12:46:14 PM",1,,1,,,,
,"01/06/2001 01:15:00 AM",1,,1,,,,
,"01/06/2001 01:30:00 AM",1,,1,,,,
,"01/06/2001 01:32:45 PM",1,,1,,,,
,"01/06/2001 01:52:28 AM",1,,1,,,,
,"01/06/2001 02:00:00 PM",2,,1,,,,
,"01/06/2001 02:12:27 PM",1,,1,,,,
,"01/06/2001 02:45:00 AM",2,,1,,,,
,"01/06/2001 03:30:27 PM",1,,1,,,,
,"01/06/2001 04:00:00 PM",1,,1,,,,
,"01/06/2001 04:30:00 PM",1,,1,,,,
,"01/06/2001 05:15:00 AM",1,,1,,,,
,"01/06/2001 05:22:15 PM",1,,1,,,,
,"01/06/2001 05:30:00 PM",2,,1,,,,
,"01/06/2001 05:40:00 PM",1,,1,,,,
,"01/06/2001 06:00:00 PM",2,,1,,,,
,"01/06/2001 06:09:26 PM",1,,1,,,,
,"01/06/2001 06:10:00 PM",1,,1,,,,
,"01/06/2001 06:28:00 PM",1,,1,,,,
,"01/06/2001 06:45:30 PM",1,,1,,,,
,"01/06/2001 06:50:00 PM",1,,1,,,,
,"01/06/2001 07:00:00 PM",1,,1,,,,
,"01/06/2001 07:05:00 PM",1,,1,,,,
,"01/06/2001 07:20:00 PM",2,,1,,,,
,"01/06/2001 08:00:00 PM",2,,1,,,,
,"01/06/2001 10:00:00 PM",2,,1,,,,
,"01/07/2001 01:00:00 AM",2,,1,,,,
,"01/07/2001 03:00:00 PM",3,,1,,,,
,"01/07/2001 03:25:00 AM",2,,1,,,,
,"01/07/2001 06:30:00 AM",2,,1,,,,
,"01/07/2001 07:00:00 PM",2,,1,,,,
,"01/07/2001 08:00:00 PM",4,,1,,,,
,"01/07/2001 10:00:00 AM",4,,1,,,,
,"01/07/2001 11:00:00 PM",3,,1,,,,
,"01/07/2001 11:30:00 AM",2,,1,,,,
,"01/01/2001 03:00:00 PM",2,,1,,,,
,"01/01/2001 09:12:17 PM",1,,1,,,,
,"01/01/2001 11:14:55 PM",1,,1,,,,
,"01/10/2001 04:00:00 PM",2,,0,,,,
,"01/10/2001 06:00:00 PM",3,,0,,,,
,"01/10/2001 08:00:00 AM",2,,0,,,,
,"01/10/2001 08:00:00 PM",3,,0,,,,
,"01/10/2001 11:00:00 PM",3,,0,,,,
,"01/10/2001 12:00:00 PM",2,,0,,,,
"027XX N CLARK ST",,394,,0,,,,
,"002XX E 51 ST",4,,0,,,,
,"004XX E 63 ST",1,,1,,,,
,"004XX W 58 ST",1,,1,,,,
,"005XX E 42 ST",1,,1,,,,
,"005XX W 78 ST",1,,1,,,,
,"007XX E 68 ST",1,,1,,,,
,"007XX W 18 ST",1,,1,,,,
,"002XX E 121 PL",1,,1,,,,
,"012XX W 61 ST",1,,1,,,,
,"013XX E 69 ST",1,,1,,,,
,"013XX W 73 PL",1,,1,,,,
,"018XX W 43 ST",1,,1,,,,
,"024XX W 65 ST",1,,1,,,,
,"036XX W 81 PL",1,,1,,,,
,"040XX W 26 ST",1,,1,,,,
,"024XX N KEDZIE BL",1,,1,,,,
,"001XX N STATE ST",1,,1,,,,
,"003XX S KOSTNER AV",1,,1,,,,
,"009XX W FULLERTON AV",1,,1,,,,
,"006XX N LA SALLE DR",1,,1,,,,
,"028XX N LEAVITT ST",2,,1,,,,
,"011XX W LAWRENCE AV",1,,1,,,,
,"009XX W SUNNYSIDE AV",1,,1,,,,
,"013XX W LAKE ST",1,,1,,,,
,"017XX S LAFLIN ST",1,,1,,,,
,"020XX N RACINE AV",1,,1,,,,
,"008XX E DREXEL SQ DR",1,,1,,,,
,"025XX N ORCHARD ST",1,,1,,,,
,"039XX W CHICAGO AV",1,,1,,,,
,"025XX W LYNDALE ST",1,,1,,,,
,"041XX S ARCHER AV",1,,1,,,,
,"015XX W HASTINGS ST",1,,1,,,,
,"008XX W JUNIOR TR",2,,1,,,,
,"021XX N MAPLEWOOD AV",1,,1,,,,
,"032XX N CENTRAL PARK AV",1,,1,,,,
,"030XX N MILWAUKEE AV",1,,1,,,,
,"029XX W WALNUT ST",1,,1,,,,
,"009XX N LEAMINGTON AV",2,,0,,,,
,"014XX N CALIFORNIA AV",2,,1,,,,
,"085XX W WINNEMAC AV",2,,1,,,,
,"019XX S DRAKE AV",1,,1,,,,
,"036XX W CORTLAND ST",1,,1,,,,
,"018XX S UNION AV",1,,1,,,,
,"029XX W ADDISON ST",1,,1,,,,
,"016XX S HOMAN AV",1,,1,,,,
,"033XX W BERTEAU AV",1,,1,,,,
,"037XX S WOOD ST",1,,1,,,,
,"014XX N HOMAN AV",1,,1,,,,
,"015XX N ROCKWELL ST",1,,1,,,,
,"020XX W DIVERSEY AV",1,,1,,,,
,"009XX N MICHIGAN AV",1,,1,,,,
,"030XX N RACINE AV",1,,1,,,,
,"012XX W NORTH AV",2,,1,,,,
,"002XX S CICERO AV",1,,1,,,,
,"008XX W ADDISON ST",1,,1,,,,
,"078XX S COTTAGE GROVE",2,,0,,,,
,"0000X E ONTARIO ST",1,,1,,,,
,"035XX W FRANKLIN BL",1,,1,,,,
,"029XX W HARRISON ST",1,,1,,,,
,"023XX W ADDISON ST",1,,1,,,,
,"021XX N MOZART ST",1,,1,,,,
,"027XX S DEARBORN ST",1,,1,,,,
,"024XX W PENSACOLA AV",1,,1,,,,
,"034XX W DICKENS AV",1,,1,,,,
,"002XX N CENTRAL AV",2,,0,,,,
,"016XX W SHERWIN AV",1,,1,,,,
,"002XX S LARAMIE AV",1,,1,,,,
,"041XX N SHERIDAN RD",1,,1,,,,
,"002XX W ONTARIO ST",1,,1,,,,
,"009XX N HUDSON AV",3,,1,,,,
,"028XX N CHRISTIANA AV",1,,1,,,,
,"040XX S ARCHER AV",1,,1,,,,
,"024XX N MILWAUKEE AV",1,,1,,,,
,"027XX N MELVINA AV",1,,1,,,,
,"031XX N MONITOR AV",1,,1,,,,
,"027XX S PRAIRIE AV",1,,1,,,,
,"013XX N ASHLAND AV",1,,1,,,,
,"010XX W GRANVILLE AV",1,,1,,,,
,"009XX W BELMONT AV",1,,1,,,,
,"029XX S ELLIS AV",1,,1,,,,
,"060XX N BROADWAY",2,,1,,,,
,"016XX W NORTH SHORE AV",1,,1,,,,
,"044XX S STATE ST",3,,1,,,,
,"028XX W DEVON AV",1,,1,,,,
,"033XX N ALBANY AV",1,,1,,,,
,"027XX N HOYNE AV",1,,1,,,,
,"026XX N HOYNE AV",2,,1,,,,
,"023XX W IRVING PARK RD",1,,1,,,,
,"038XX W ALTGELD ST",1,,1,,,,
,"008XX W GRACE ST",1,,1,,,,
,"023XX S STATE ST",1,,1,,,,
,"031XX W WALTON ST",1,,1,,,,
,"025XX N MILWAUKEE AV",1,,1,,,,
,"006XX N CLARK ST",1,,1,,,,
,"005XX N STATE ST",1,,1,,,,
,"028XX N CLYBOURN AV",1,,1,,,,
,"084XX S SOUTH CHICAGO",2,,0,,,,
,"071XX S EMERALD AV",2,,1,,,,
,"007XX S INDEPENDENCE BL",1,,1,,,,
,"003XX W NORTH AV",1,,1,,,,
"08_17_2015 03_03_40 PM",,394,,1,,,,
,"09/18/2022 04:45:51 PM",1,,1,,,,
,"08/17/2015 03:03:40 PM",392,,1,,,,
,"08/31/2022 04:51:30 PM",1,,1,,,,
11,,394,312,1,02,26,4120.000000,74738.000000
,02,1,,1,,,,
,03,18,,1,,,,
,05,16,,1,,,,
,06,90,,1,,,,
,07,19,,1,,,,
,10,1,,1,,,,
,11,6,,1,,,,
,14,43,,1,,,,
,15,2,,1,,,,
,16,1,,1,,,,
,17,5,,1,,,,
,18,44,,1,,,,
,20,1,,1,,,,
,26,65,,1,,,,
,01A,2,,1,,,,
,04A,5,,1,,,,
,04B,16,,1,,,,
,08A,17,,1,,,,
,08B,42,,1,,,,
1171620,,394,394,0,1118637,1201960,458476192.000000,533604097913398.000000
,1118637,1,,1,,,,
,1118675,1,,1,,,,
,1127330,1,,1,,,,
,1127707,1,,1,,,,
,1132510,1,,1,,,,
,1132586,1,,1,,,,
,1133547,1,,1,,,,
,1134493,1,,1,,,,
,1134562,1,,1,,,,
,1136366,1,,1,,,,
,1136787,1,,1,,,,
,1139456,1,,1,,,,
,1141715,1,,1,,,,
,1141748,1,,1,,,,
,1142071,1,,1,,,,
,1142628,1,,1,,,,
,1142900,1,,1,,,,
,1143767,1,,1,,,,
,1144470,1,,1,,,,
,1144568,1,,1,,,,
,1145592,1,,1,,,,
,1145779,1,,1,,,,
,1147071,1,,1,,,,
,1147963,1,,1,,,,
,1148467,1,,1,,,,
,1148731,1,,1,,,,
,1149953,1,,1,,,,
,1150064,1,,1,,,,
,1150150,1,,1,,,,
,1151268,1,,1,,,,
,1151418,1,,1,,,,
,1151642,1,,1,,,,
,1151778,1,,1,,,,
,1152700,1,,1,,,,
,1153015,1,,1,,,,
,1153172,1,,1,,,,
