2025-07-06 14:17:47.5954 ERROR 	GraphicsAdapterInfoPayload. GetEscapeInterface: Found no valid driver for intel hardware hardware. 
2025-07-06 14:17:47.5954 ERROR 	DriverEscapeBuilder. InvokeDriverEscape could not find Intel Adapter, enable to process escape call: 5 
2025-07-06 14:17:47.5954 ERROR 	EscapeCallYangra. GetPowerConservationData. Driver Escape Failed. 
2025-07-06 14:17:47.5954 INFO 	PlatformCapability. ALSSensorReadingChangedAsync. Lace is not supported 
2025-07-06 14:17:47.5954 INFO 	PlatformCapability. ALSSensorReadingChangedAsync. Unsupported Platform 
2025-07-06 14:28:17.2141 INFO 	ControlAPIHandler. Close. Error closing handle. Status: CTL_RESULT_ERROR_NOT_INITIALIZED 
2025-07-06 14:40:08.5351 ERROR 	DriverEscapeBuilder. InvokeDriverEscape could not find Intel Adapter, enable to process escape call: 207 
2025-07-06 14:40:08.5351 INFO 	ControlAPIHandler. Initialize for ControlAPI. Started:  
2025-07-06 14:40:08.5351 INFO 	ControlAPIHandler. Initialize. ctlInit failed 
2025-07-06 14:40:08.5351 ERROR 	DriverEscapeBuilder. InvokeDriverEscape could not find Intel Adapter, enable to process escape call: 100 
2025-07-06 14:40:08.5351 ERROR 	DriverEscapeBuilder. InvokeDriverEscape could not find Intel Adapter, enable to process escape call: 1 
2025-07-06 14:40:08.5351 ERROR 	GraphicsAdapterInfoPayload. GetEscapeInterface: Found no valid driver for intel hardware hardware. 
2025-07-06 14:40:08.5351 ERROR 	DriverEscapeBuilder. InvokeDriverEscape could not find Intel Adapter, enable to process escape call: 5 
2025-07-06 14:40:08.5351 ERROR 	EscapeCallYangra. GetPowerConservationData. Driver Escape Failed. 
2025-07-06 14:40:08.5351 INFO 	PlatformCapability. ALSSensorReadingChangedAsync. Lace is not supported 
2025-07-06 14:40:08.5351 INFO 	PlatformCapability. ALSSensorReadingChangedAsync. Unsupported Platform 
2025-07-06 14:56:50.4155 INFO 	ControlAPIHandler. Close. Error closing handle. Status: CTL_RESULT_ERROR_NOT_INITIALIZED 
2025-07-06 16:16:11.7629 ERROR 	DriverEscapeBuilder. InvokeDriverEscape could not find Intel Adapter, enable to process escape call: 207 
