peerURI,serverName,host,machine,"search_group","__mv_peerURI","__mv_serverName","__mv_host","__mv_machine","__mv_search_group"
localhost,"BEER-PC01","BEER-PC01","BEER-PC01","dmc_group_indexer",,,,,
localhost,"BEER-PC01","BEER-PC01","BEER-PC01","dmc_group_kv_store",,,,,
localhost,"BEER-PC01","BEER-PC01","BEER-PC01","dmc_group_license_master",,,,,
localhost,"BEER-PC01","BEER-PC01","BEER-PC01","dmc_group_search_head",,,,,
