sid,search,"splunk_server","_time","is_realtime",provenance,"api_et","api_lt","event_count","exec_time","result_count","scan_count","search_et","search_lt",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_api_et","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time"
"1749558900.16","| inputlookup append=t prices.csv","BEER-PC01","1749558900.379916",0,"UI:Search","1749470400.000000000","1749558900.000000000",0,1749558901,17,0,"1749470400.000000000","1749558900.000000000",completed,"0.187",,,,,,,,,,,,,,,,
"1749559236.17","search index=_internal host=""<host_name>"" source=*lookup*","BEER-PC01","1749559236.013861",0,"UI:Search","1749470400.000000000","1749559236.000000000",0,1749559236,0,0,"1749470400.000000000","1749559236.000000000",completed,"0.228",,,,,,,,,,,,,,,,
"1749559242.18","search index=_internal  source=*lookup*","BEER-PC01","1749559242.284125",0,"UI:Search","1749470400.000000000","1749559242.000000000",219,1749559242,219,219,"1749470400.000000000","1749559242.000000000",completed,"0.375",,,,,,,,,,,,,,,,
"1749559285.19","search index=_internal  source=*lookup*","BEER-PC01","1749559285.515885",0,"UI:Search","1749470400.000000000","1749559285.000000000",222,1749559286,222,222,"1749470400.000000000","1749559285.000000000",completed,"0.342",,,,,,,,,,,,,,,,
