key,value,count,ncount,complete,min,max,sum,sumsq
,,80,,,,,,
"41_850099098_ _87_678237962",,80,,1,,,,
,HL281415,1,,1,,,,
,HL648856,1,,1,,,,
,HL648861,1,,1,,,,
,HL648887,1,,1,,,,
,HL652442,1,,1,,,,
,HL655077,1,,1,,,,
,HL655083,1,,1,,,,
,HL655116,1,,1,,,,
,HL655156,1,,1,,,,
,HL655188,1,,1,,,,
,HL676211,1,,1,,,,
,HL678873,1,,1,,,,
,HL683496,1,,1,,,,
,HL683715,1,,1,,,,
,HL691810,1,,1,,,,
,HL692237,1,,1,,,,
,HL693512,1,,1,,,,
,HL694564,1,,1,,,,
,HL695245,1,,1,,,,
,HL695406,1,,1,,,,
,HL695557,1,,1,,,,
,HL695585,1,,1,,,,
,HL695814,1,,1,,,,
,HL695880,1,,1,,,,
,HL696412,1,,1,,,,
,HL696524,1,,1,,,,
,HL697162,1,,1,,,,
,HL697165,1,,1,,,,
,HL697176,1,,1,,,,
,HL697470,1,,1,,,,
,HL698098,1,,1,,,,
,HL698119,1,,1,,,,
,HL698166,1,,1,,,,
,HL698261,1,,1,,,,
,HL698263,1,,1,,,,
,HL698305,1,,1,,,,
,HL698338,1,,1,,,,
,HL698421,1,,1,,,,
,HL698571,1,,1,,,,
,HL698582,1,,1,,,,
,HL698673,1,,1,,,,
,HL698698,1,,1,,,,
,HL698699,1,,1,,,,
,HL698707,1,,1,,,,
,HL698718,1,,1,,,,
,HL698723,1,,1,,,,
,HL698734,1,,1,,,,
,HL698795,1,,1,,,,
,HL698854,1,,1,,,,
,HL698908,1,,1,,,,
,HL698944,1,,1,,,,
,HL698980,1,,1,,,,
,HL698999,1,,1,,,,
,HL699020,1,,1,,,,
,HL699060,1,,1,,,,
,HL699255,1,,1,,,,
,HL699311,1,,1,,,,
,HL699353,1,,1,,,,
,HL699370,1,,1,,,,
,HL699403,1,,1,,,,
,HL699470,1,,1,,,,
,HL699514,1,,1,,,,
,HL699533,1,,1,,,,
,HL699596,1,,1,,,,
,HL699606,1,,1,,,,
,HL699682,1,,1,,,,
,HL699690,1,,1,,,,
,HL699824,1,,1,,,,
,HL699868,1,,1,,,,
,HL699966,1,,1,,,,
,HL700069,1,,1,,,,
,HL700352,1,,1,,,,
,HL700380,1,,1,,,,
,HL700393,1,,1,,,,
,HL700401,1,,1,,,,
,HL700411,1,,1,,,,
,HL700431,1,,1,,,,
,HL700435,1,,1,,,,
,HL700450,1,,1,,,,
,HP142528,1,,1,,,,
"87_678237962",,80,80,1,4406,4406067,348079062.000000,1533619844194400.000000
,4406,1,,1,,,,
,4405944,1,,1,,,,
,4405945,1,,1,,,,
,4405947,1,,1,,,,
,4405949,1,,1,,,,
,4405951,1,,1,,,,
,4405954,1,,1,,,,
,4405955,1,,1,,,,
,4405957,1,,1,,,,
,4405958,1,,1,,,,
,4405959,1,,1,,,,
,4405960,1,,1,,,,
,4405961,1,,1,,,,
,4405962,1,,1,,,,
,4405963,1,,1,,,,
,4405964,1,,1,,,,
,4405965,1,,1,,,,
,4405971,1,,1,,,,
,4405973,1,,1,,,,
,4405976,1,,1,,,,
,4405977,1,,1,,,,
,4405978,1,,1,,,,
,4405979,1,,1,,,,
,4405980,1,,1,,,,
,4405982,1,,1,,,,
,4405983,1,,1,,,,
,4405985,1,,1,,,,
,4405987,1,,1,,,,
,4405988,1,,1,,,,
,4405990,1,,1,,,,
,4405992,1,,1,,,,
,4405993,1,,1,,,,
,4405999,1,,1,,,,
,4406003,1,,1,,,,
,4406005,1,,1,,,,
,4406007,1,,1,,,,
,4406008,1,,1,,,,
,4406009,1,,1,,,,
,4406010,1,,1,,,,
,4406011,1,,1,,,,
,4406013,1,,1,,,,
,4406014,1,,1,,,,
,4406015,1,,1,,,,
,4406016,1,,1,,,,
,4406020,1,,1,,,,
,4406022,1,,1,,,,
,4406023,1,,1,,,,
,4406024,1,,1,,,,
,4406025,1,,1,,,,
,4406026,1,,1,,,,
,4406027,1,,1,,,,
,4406028,1,,1,,,,
,4406029,1,,1,,,,
,4406030,1,,1,,,,
,4406031,1,,1,,,,
,4406034,1,,1,,,,
,4406035,1,,1,,,,
,4406036,1,,1,,,,
,4406037,1,,1,,,,
,4406038,1,,1,,,,
,4406039,1,,1,,,,
,4406040,1,,1,,,,
,4406041,1,,1,,,,
,4406042,1,,1,,,,
,4406043,1,,1,,,,
,4406045,1,,1,,,,
,4406047,1,,1,,,,
,4406049,1,,1,,,,
,4406050,1,,1,,,,
,4406052,1,,1,,,,
,4406053,1,,1,,,,
,4406056,1,,1,,,,
,4406057,1,,1,,,,
,4406058,1,,1,,,,
,4406059,1,,1,,,,
,4406062,1,,1,,,,
,4406063,1,,1,,,,
,4406064,1,,1,,,,
,4406066,1,,1,,,,
,4406067,1,,1,,,,
"EXTRA_FIELD_10",,80,,1,,,,
,true,18,,1,,,,
,false,62,,1,,,,
"EXTRA_FIELD_11",,80,80,1,0123,2535,97679.000000,168242597.000000
,0123,1,,1,,,,
,0132,1,,1,,,,
,0311,2,,1,,,,
,0312,3,,1,,,,
,0313,1,,1,,,,
,0321,4,,1,,,,
,0322,1,,1,,,,
,0323,2,,1,,,,
,0334,1,,1,,,,
,0422,1,,1,,,,
,0533,1,,1,,,,
,0611,1,,1,,,,
,0613,1,,1,,,,
,0614,1,,1,,,,
,0621,1,,1,,,,
,0622,1,,1,,,,
,0623,1,,1,,,,
,0711,2,,1,,,,
,0712,1,,1,,,,
,0713,1,,1,,,,
,0714,1,,1,,,,
,0715,1,,1,,,,
,0723,2,,1,,,,
,0732,2,,1,,,,
,0735,1,,1,,,,
,0824,1,,1,,,,
,0833,1,,1,,,,
,0911,1,,1,,,,
,0913,1,,1,,,,
,1024,1,,1,,,,
,1111,1,,1,,,,
,1113,1,,1,,,,
,1122,1,,1,,,,
,1131,2,,1,,,,
,1133,2,,1,,,,
,1135,1,,1,,,,
,1313,1,,1,,,,
,1421,1,,1,,,,
,1532,1,,1,,,,
,1622,1,,1,,,,
,1634,1,,1,,,,
,1732,1,,1,,,,
,1811,1,,1,,,,
,1813,2,,1,,,,
,1814,1,,1,,,,
,1821,1,,1,,,,
