key,value,count,ncount,complete,min,max,sum,sumsq
,,89,,,,,,
"41_850099098_ _87_678237962",,89,,1,,,,
,HL631659,1,,1,,,,
,HL637687,1,,1,,,,
,HL638522,1,,1,,,,
,HL648510,1,,1,,,,
,HL648526,1,,1,,,,
,HL650602,1,,1,,,,
,HL651614,1,,1,,,,
,HL653881,1,,1,,,,
,HL682510,1,,1,,,,
,HL682747,1,,1,,,,
,HL682934,1,,1,,,,
,HL683000,1,,1,,,,
,HL683116,1,,1,,,,
,HL683354,1,,1,,,,
,HL684962,1,,1,,,,
,HL685267,1,,1,,,,
,HL687244,1,,1,,,,
,HL690531,1,,1,,,,
,HL691230,1,,1,,,,
,HL691784,1,,1,,,,
,HL693430,1,,1,,,,
,HL693441,1,,1,,,,
,HL693692,1,,1,,,,
,HL693815,1,,1,,,,
,HL693908,1,,1,,,,
,HL693986,1,,1,,,,
,HL694294,1,,1,,,,
,HL694514,1,,1,,,,
,HL694544,1,,1,,,,
,HL694584,1,,1,,,,
,HL694690,1,,1,,,,
,HL694928,1,,1,,,,
,HL695084,1,,1,,,,
,HL695130,1,,1,,,,
,HL695138,1,,1,,,,
,HL695173,1,,1,,,,
,HL695219,1,,1,,,,
,HL695282,1,,1,,,,
,HL695440,1,,1,,,,
,HL695789,1,,1,,,,
,HL695920,1,,1,,,,
,HL696090,1,,1,,,,
,HL696117,1,,1,,,,
,HL696147,1,,1,,,,
,HL696165,1,,1,,,,
,HL696168,1,,1,,,,
,HL696195,1,,1,,,,
,HL696319,1,,1,,,,
,HL696322,1,,1,,,,
,HL696329,1,,1,,,,
,HL696367,1,,1,,,,
,HL696383,1,,1,,,,
,HL696384,1,,1,,,,
,HL696414,1,,1,,,,
,HL696554,1,,1,,,,
,HL696555,1,,1,,,,
,HL696605,1,,1,,,,
,HL696641,1,,1,,,,
,HL696719,1,,1,,,,
,HL696749,1,,1,,,,
,HL696832,1,,1,,,,
,HL696877,1,,1,,,,
,HL696886,1,,1,,,,
,HL696888,1,,1,,,,
,HL696923,1,,1,,,,
,HL696980,1,,1,,,,
,HL696988,1,,1,,,,
,HL696990,1,,1,,,,
,HL696998,1,,1,,,,
,HL697000,1,,1,,,,
,HL697019,1,,1,,,,
,HL697072,1,,1,,,,
,HL697151,1,,1,,,,
,HL697195,1,,1,,,,
,HL697248,1,,1,,,,
,HL697307,1,,1,,,,
,HL697350,1,,1,,,,
,HL697389,1,,1,,,,
,HL697400,1,,1,,,,
,HL697462,1,,1,,,,
,HL697501,1,,1,,,,
,HL697515,1,,1,,,,
,HL697753,1,,1,,,,
,HL697757,1,,1,,,,
,HL697810,1,,1,,,,
,HL697843,1,,1,,,,
,HL697998,1,,1,,,,
,HL698090,1,,1,,,,
,HL698214,1,,1,,,,
"87_678237962",,89,89,1,4403424,4403551,391910337.000000,1725772047848593.000000
,4403424,1,,1,,,,
,4403425,1,,1,,,,
,4403426,1,,1,,,,
,4403427,1,,1,,,,
,4403428,1,,1,,,,
,4403429,1,,1,,,,
,4403430,1,,1,,,,
,4403431,1,,1,,,,
,4403433,1,,1,,,,
,4403434,1,,1,,,,
,4403436,1,,1,,,,
,4403437,1,,1,,,,
,4403439,1,,1,,,,
,4403440,1,,1,,,,
,4403442,1,,1,,,,
,4403445,1,,1,,,,
,4403446,1,,1,,,,
,4403447,1,,1,,,,
,4403448,1,,1,,,,
,4403449,1,,1,,,,
,4403450,1,,1,,,,
,4403452,1,,1,,,,
,4403456,1,,1,,,,
,4403457,1,,1,,,,
,4403458,1,,1,,,,
,4403460,1,,1,,,,
,4403461,1,,1,,,,
,4403463,1,,1,,,,
,4403464,1,,1,,,,
,4403465,1,,1,,,,
,4403467,1,,1,,,,
,4403469,1,,1,,,,
,4403472,1,,1,,,,
,4403473,1,,1,,,,
,4403474,1,,1,,,,
,4403475,1,,1,,,,
,4403476,1,,1,,,,
,4403478,1,,1,,,,
,4403479,1,,1,,,,
,4403480,1,,1,,,,
,4403483,1,,1,,,,
,4403484,1,,1,,,,
,4403487,1,,1,,,,
,4403489,1,,1,,,,
,4403490,1,,1,,,,
,4403492,1,,1,,,,
,4403493,1,,1,,,,
,4403494,1,,1,,,,
,4403495,1,,1,,,,
,4403496,1,,1,,,,
,4403497,1,,1,,,,
,4403498,1,,1,,,,
,4403499,1,,1,,,,
,4403500,1,,1,,,,
,4403501,1,,1,,,,
,4403502,1,,1,,,,
,4403503,1,,1,,,,
,4403504,1,,1,,,,
,4403505,1,,1,,,,
,4403508,1,,1,,,,
,4403509,1,,1,,,,
,4403512,1,,1,,,,
,4403514,1,,1,,,,
,4403515,1,,1,,,,
,4403516,1,,1,,,,
,4403517,1,,1,,,,
,4403518,1,,1,,,,
,4403520,1,,1,,,,
,4403521,1,,1,,,,
,4403524,1,,1,,,,
,4403525,1,,1,,,,
,4403527,1,,1,,,,
,4403528,1,,1,,,,
,4403529,1,,1,,,,
