key,value,count,ncount,complete,min,max,sum,sumsq
,,71,,,,,,
"41_850099098_ _87_678237962",,71,,1,,,,
,HL631715,1,,1,,,,
,HL638801,1,,1,,,,
,HL639442,1,,1,,,,
,HL642675,1,,1,,,,
,HL642993,1,,1,,,,
,HL647021,1,,1,,,,
,HL647205,1,,1,,,,
,HL647215,1,,1,,,,
,HL647235,1,,1,,,,
,HL647519,1,,1,,,,
,HL647533,1,,1,,,,
,HL647565,1,,1,,,,
,HL647795,1,,1,,,,
,HL647796,1,,1,,,,
,HL647806,1,,1,,,,
,HL653530,1,,1,,,,
,HL653847,1,,1,,,,
,HL654448,1,,1,,,,
,HL654539,1,,1,,,,
,HL654588,1,,1,,,,
,HL670617,1,,1,,,,
,HL678440,1,,1,,,,
,HL690134,1,,1,,,,
,HL690335,1,,1,,,,
,HL691108,1,,1,,,,
,HL693208,1,,1,,,,
,HL693245,1,,1,,,,
,HL693547,1,,1,,,,
,HL694854,1,,1,,,,
,HL694877,1,,1,,,,
,HL695098,1,,1,,,,
,HL695843,1,,1,,,,
,HL695892,1,,1,,,,
,HL695998,1,,1,,,,
,HL696004,1,,1,,,,
,HL696087,1,,1,,,,
,HL696109,1,,1,,,,
,HL696118,1,,1,,,,
,HL696122,1,,1,,,,
,HL696373,1,,1,,,,
,HL696379,1,,1,,,,
,HL696431,1,,1,,,,
,HL696490,1,,1,,,,
,HL696504,1,,1,,,,
,HL696543,1,,1,,,,
,HL696735,1,,1,,,,
,HL696781,1,,1,,,,
,HL696845,1,,1,,,,
,HL696879,1,,1,,,,
,HL696997,1,,1,,,,
,HL697039,1,,1,,,,
,HL697119,1,,1,,,,
,HL697202,1,,1,,,,
,HL697244,1,,1,,,,
,HL697301,1,,1,,,,
,HL697330,1,,1,,,,
,HL697340,1,,1,,,,
,HL697346,1,,1,,,,
,HL697368,1,,1,,,,
,HL697380,1,,1,,,,
,HL697564,1,,1,,,,
,HL697583,1,,1,,,,
,HL697702,1,,1,,,,
,HL697711,1,,1,,,,
,HL697720,1,,1,,,,
,HL697729,1,,1,,,,
,HL697806,1,,1,,,,
,HL697812,1,,1,,,,
,HL698006,1,,1,,,,
,HL698407,1,,1,,,,
,HL698423,1,,1,,,,
"87_678237962",,71,71,1,4403787,4403903,312673235.000000,1376965519594695.000000
,4403787,1,,1,,,,
,4403792,1,,1,,,,
,4403793,1,,1,,,,
,4403794,1,,1,,,,
,4403796,1,,1,,,,
,4403800,1,,1,,,,
,4403801,1,,1,,,,
,4403802,1,,1,,,,
,4403803,1,,1,,,,
,4403806,1,,1,,,,
,4403807,1,,1,,,,
,4403808,1,,1,,,,
,4403810,1,,1,,,,
,4403812,1,,1,,,,
,4403813,1,,1,,,,
,4403814,1,,1,,,,
,4403815,1,,1,,,,
,4403816,1,,1,,,,
,4403818,1,,1,,,,
,4403819,1,,1,,,,
,4403821,1,,1,,,,
,4403824,1,,1,,,,
,4403826,1,,1,,,,
,4403828,1,,1,,,,
,4403830,1,,1,,,,
,4403831,1,,1,,,,
,4403834,1,,1,,,,
,4403836,1,,1,,,,
,4403838,1,,1,,,,
,4403840,1,,1,,,,
,4403841,1,,1,,,,
,4403842,1,,1,,,,
,4403847,1,,1,,,,
,4403848,1,,1,,,,
,4403849,1,,1,,,,
,4403850,1,,1,,,,
,4403852,1,,1,,,,
,4403853,1,,1,,,,
,4403854,1,,1,,,,
,4403856,1,,1,,,,
,4403857,1,,1,,,,
,4403859,1,,1,,,,
,4403861,1,,1,,,,
,4403862,1,,1,,,,
,4403865,1,,1,,,,
,4403867,1,,1,,,,
,4403868,1,,1,,,,
,4403870,1,,1,,,,
,4403871,1,,1,,,,
,4403873,1,,1,,,,
,4403876,1,,1,,,,
,4403877,1,,1,,,,
,4403878,1,,1,,,,
,4403879,1,,1,,,,
,4403880,1,,1,,,,
,4403881,1,,1,,,,
,4403882,1,,1,,,,
,4403883,1,,1,,,,
,4403885,1,,1,,,,
,4403888,1,,1,,,,
,4403890,1,,1,,,,
,4403892,1,,1,,,,
,4403893,1,,1,,,,
,4403894,1,,1,,,,
,4403896,1,,1,,,,
,4403897,1,,1,,,,
,4403899,1,,1,,,,
,4403900,1,,1,,,,
,4403901,1,,1,,,,
,4403902,1,,1,,,,
,4403903,1,,1,,,,
"EXTRA_FIELD_10",,71,,1,,,,
,true,6,,1,,,,
,false,65,,1,,,,
"EXTRA_FIELD_11",,71,71,1,0122,2535,83162.000000,141802448.000000
,0122,1,,1,,,,
,0123,1,,1,,,,
,0131,1,,1,,,,
,0132,1,,1,,,,
,0134,2,,1,,,,
,0211,1,,1,,,,
,0222,1,,1,,,,
,0224,1,,1,,,,
,0233,1,,1,,,,
,0234,1,,1,,,,
,0312,1,,1,,,,
,0314,1,,1,,,,
,0321,1,,1,,,,
,0332,1,,1,,,,
,0333,3,,1,,,,
,0334,1,,1,,,,
,0511,2,,1,,,,
,0611,2,,1,,,,
,0612,1,,1,,,,
,0613,1,,1,,,,
,0621,1,,1,,,,
,0623,1,,1,,,,
,0732,1,,1,,,,
,0821,2,,1,,,,
,0831,1,,1,,,,
,0832,1,,1,,,,
,0835,1,,1,,,,
,0911,1,,1,,,,
,1111,1,,1,,,,
,1112,1,,1,,,,
,1113,1,,1,,,,
,1123,1,,1,,,,
,1124,1,,1,,,,
,1331,1,,1,,,,
,1511,1,,1,,,,
,1532,1,,1,,,,
,1624,1,,1,,,,
,1631,1,,1,,,,
,1711,2,,1,,,,
,1713,4,,1,,,,
,1722,2,,1,,,,
,1723,1,,1,,,,
,1731,2,,1,,,,
,1814,1,,1,,,,
,1821,1,,1,,,,
,1831,1,,1,,,,
,1833,1,,1,,,,
,2011,1,,1,,,,
,2113,1,,1,,,,
,2122,1,,1,,,,
,2312,1,,1,,,,
,2514,2,,1,,,,
,2521,2,,1,,,,
,2522,2,,1,,,,
,2533,1,,1,,,,
,2535,1,,1,,,,
"EXTRA_FIELD_12",,71,71,1,001,025,772.000000,12766.000000
,001,7,,1,,,,
,002,6,,1,,,,
,003,8,,1,,,,
,005,2,,1,,,,
,006,6,,1,,,,
,007,1,,1,,,,
,008,5,,1,,,,
,009,1,,1,,,,
,011,5,,1,,,,
,012,1,,1,,,,
,015,2,,1,,,,
,016,2,,1,,,,
,017,11,,1,,,,
,018,4,,1,,,,
,019,1,,1,,,,
,020,1,,1,,,,
,025,8,,1,,,,
"EXTRA_FIELD_13",,71,71,1,2,46,1705.000000,54765.000000
,2,2,,1,,,,
,3,6,,1,,,,
,4,1,,1,,,,
,5,4,,1,,,,
,6,2,,1,,,,
,7,1,,1,,,,
,8,1,,1,,,,
,14,3,,1,,,,
,17,4,,1,,,,
,18,2,,1,,,,
,20,5,,1,,,,
,21,3,,1,,,,
,27,3,,1,,,,
,28,4,,1,,,,
,29,1,,1,,,,
,30,1,,1,,,,
,31,5,,1,,,,
,33,3,,1,,,,
,36,1,,1,,,,
,37,2,,1,,,,
,38,2,,1,,,,
,39,4,,1,,,,
,40,1,,1,,,,
,42,4,,1,,,,
,43,2,,1,,,,
,45,3,,1,,,,
,46,1,,1,,,,
"EXTRA_FIELD_14",,71,71,1,2,71,2357.000000,105861.000000
,2,1,,1,,,,
,3,1,,1,,,,
,7,1,,1,,,,
,8,3,,1,,,,
,13,4,,1,,,,
,14,3,,1,,,,
,15,2,,1,,,,
,16,3,,1,,,,
,17,1,,1,,,,
,19,5,,1,,,,
,20,1,,1,,,,
,23,3,,1,,,,
,25,3,,1,,,,
,26,1,,1,,,,
,27,3,,1,,,,
,28,1,,1,,,,
,32,3,,1,,,,
,33,2,,1,,,,
,35,3,,1,,,,
,38,2,,1,,,,
,40,2,,1,,,,
,42,2,,1,,,,
,43,5,,1,,,,
,44,1,,1,,,,
,49,1,,1,,,,
,50,1,,1,,,,
,58,2,,1,,,,
,63,1,,1,,,,
,66,2,,1,,,,
,68,1,,1,,,,
,69,1,,1,,,,
,70,1,,1,,,,
,71,5,,1,,,,
