key,value,count,ncount,complete,min,max,sum,sumsq
,,172,,,,,,
"41_850099098_ _87_678237962",,172,,0,,,,
,HL317985,1,,1,,,,
,HL321931,1,,1,,,,
,HL627461,1,,1,,,,
,HL627570,1,,1,,,,
,HL627572,1,,1,,,,
,HL627573,1,,1,,,,
,HL627581,1,,1,,,,
,HL627582,1,,1,,,,
,HL627616,1,,1,,,,
,HL627734,1,,1,,,,
,HL631625,1,,1,,,,
,HL631676,1,,1,,,,
,HL631722,1,,1,,,,
,HL631727,1,,1,,,,
,HL631743,1,,1,,,,
,HL631744,1,,1,,,,
,HL638319,1,,1,,,,
,HL638338,1,,1,,,,
,HL638351,1,,1,,,,
,HL638382,1,,1,,,,
,HL638384,1,,1,,,,
,HL638412,1,,1,,,,
,HL638831,1,,1,,,,
,HL638916,1,,1,,,,
,HL639362,1,,1,,,,
,HL644299,1,,1,,,,
,HL649262,1,,1,,,,
,HL649263,1,,1,,,,
,HL649266,1,,1,,,,
,HL649267,1,,1,,,,
,HL649288,1,,1,,,,
,HL649302,1,,1,,,,
,HL651939,1,,1,,,,
,HL652090,1,,1,,,,
,HL652096,1,,1,,,,
,HL652211,1,,1,,,,
,HL680414,1,,1,,,,
,HL682363,1,,1,,,,
,HL682588,1,,1,,,,
,HL682683,1,,1,,,,
,HL682902,1,,1,,,,
,HL683527,1,,1,,,,
,HL684724,1,,1,,,,
,HL684747,1,,1,,,,
,HL686204,1,,1,,,,
,HL688369,1,,1,,,,
,HL688912,1,,1,,,,
,HL689035,1,,1,,,,
,HL689192,1,,1,,,,
,HL689722,1,,1,,,,
,HL690297,1,,1,,,,
,HL690493,1,,1,,,,
,HL690764,1,,1,,,,
,HL690791,1,,1,,,,
,HL690911,1,,1,,,,
,HL690914,1,,1,,,,
,HL690949,1,,1,,,,
,HL691156,1,,1,,,,
,HL691164,1,,1,,,,
,HL691247,1,,1,,,,
,HL691549,1,,1,,,,
,HL691626,1,,1,,,,
,HL691829,1,,1,,,,
,HL691842,1,,1,,,,
,HL691850,1,,1,,,,
,HL692019,1,,1,,,,
,HL692172,1,,1,,,,
,HL692334,1,,1,,,,
,HL692347,1,,1,,,,
,HL692429,1,,1,,,,
,HL692547,1,,1,,,,
,HL692673,1,,1,,,,
,HL692694,1,,1,,,,
,HL692787,1,,1,,,,
,HL692868,1,,1,,,,
,HL692882,1,,1,,,,
,HL692937,1,,1,,,,
,HL692970,1,,1,,,,
,HL692972,1,,1,,,,
,HL693043,1,,1,,,,
,HL693094,1,,1,,,,
,HL693210,1,,1,,,,
,HL693218,1,,1,,,,
,HL693235,1,,1,,,,
,HL693240,1,,1,,,,
,HL693266,1,,1,,,,
,HL693318,1,,1,,,,
,HL693400,1,,1,,,,
,HL693456,1,,1,,,,
,HL693513,1,,1,,,,
,HL693525,1,,1,,,,
,HL693527,1,,1,,,,
,HL693580,1,,1,,,,
,HL693586,1,,1,,,,
,HL693604,1,,1,,,,
,HL693625,1,,1,,,,
,HL693637,1,,1,,,,
,HL693714,1,,1,,,,
,HL693752,1,,1,,,,
,HL693785,1,,1,,,,
"87_678237962",,172,172,0,4399134,4407492,757371499.000000,3334954009776519.000000
,4399134,1,,1,,,,
,4399139,1,,1,,,,
,4399141,1,,1,,,,
,4399143,1,,1,,,,
,4399147,1,,1,,,,
,4399148,1,,1,,,,
,4399149,1,,1,,,,
