key,value,count,ncount,complete,min,max,sum,sumsq
,,93,,,,,,
"41_850099098_ _87_678237962",,93,,1,,,,
,HL653314,1,,1,,,,
,HL687950,1,,1,,,,
,HL696970,1,,1,,,,
,HL697221,1,,1,,,,
,HL697276,1,,1,,,,
,HL697586,1,,1,,,,
,HL698719,1,,1,,,,
,HL698914,1,,1,,,,
,HL699611,1,,1,,,,
,HL699858,1,,1,,,,
,HL700308,1,,1,,,,
,HL700470,1,,1,,,,
,HL700496,1,,1,,,,
,HL700531,1,,1,,,,
,HL700549,1,,1,,,,
,HL700563,1,,1,,,,
,HL700636,1,,1,,,,
,HL700659,1,,1,,,,
,HL700693,1,,1,,,,
,HL700854,1,,1,,,,
,HL700885,1,,1,,,,
,HL700899,1,,1,,,,
,HL700963,1,,1,,,,
,HL701019,1,,1,,,,
,HL701100,1,,1,,,,
,HL701115,1,,1,,,,
,HL701164,1,,1,,,,
,HL701219,1,,1,,,,
,HL701225,1,,1,,,,
,HL701245,1,,1,,,,
,HL701263,1,,1,,,,
,HL701294,1,,1,,,,
,HL701303,1,,1,,,,
,HL701312,1,,1,,,,
,HL701381,1,,1,,,,
,HL701390,1,,1,,,,
,HL701431,1,,1,,,,
,HL701441,1,,1,,,,
,HL701462,1,,1,,,,
,HL701474,1,,1,,,,
,HL701484,1,,1,,,,
,HL701518,1,,1,,,,
,HL701530,1,,1,,,,
,HL701546,1,,1,,,,
,HL701566,1,,1,,,,
,HL701602,1,,1,,,,
,HL701608,1,,1,,,,
,HL701615,1,,1,,,,
,HL701616,1,,1,,,,
,HL701626,1,,1,,,,
,HL701629,1,,1,,,,
,HL701651,1,,1,,,,
,HL701661,1,,1,,,,
,HL701671,1,,1,,,,
,HL701682,1,,1,,,,
,HL701687,1,,1,,,,
,HL701695,1,,1,,,,
,HL701696,1,,1,,,,
,HL701706,1,,1,,,,
,HL701717,1,,1,,,,
,HL701719,1,,1,,,,
,HL701733,1,,1,,,,
,HL701734,1,,1,,,,
,HL701738,1,,1,,,,
,HL701749,1,,1,,,,
,HL701752,1,,1,,,,
,HL701762,1,,1,,,,
,HL701769,1,,1,,,,
,HL701780,1,,1,,,,
,HL701783,1,,1,,,,
,HL701790,1,,1,,,,
,HL701823,1,,1,,,,
,HL701824,1,,1,,,,
,HL701841,1,,1,,,,
,HL701883,1,,1,,,,
,HL701923,1,,1,,,,
,HL701928,1,,1,,,,
,HL701958,1,,1,,,,
,HL701971,1,,1,,,,
,HL701990,1,,1,,,,
,HL701999,1,,1,,,,
,HL702019,1,,1,,,,
,HL702029,1,,1,,,,
,HL702034,1,,1,,,,
,HL702035,1,,1,,,,
,HL702041,1,,1,,,,
,HL702043,1,,1,,,,
,HL702048,1,,1,,,,
,HL702052,1,,1,,,,
,HL702064,1,,1,,,,
,HL702074,1,,1,,,,
,HL702097,1,,1,,,,
,HL702108,1,,1,,,,
"87_678237962",,93,93,1,4406720,4406914,409830528.000000,1806032921406406.000000
,4406720,1,,1,,,,
,4406722,1,,1,,,,
,4406723,1,,1,,,,
,4406724,1,,1,,,,
,4406726,1,,1,,,,
,4406728,1,,1,,,,
,4406729,1,,1,,,,
,4406730,1,,1,,,,
,4406736,1,,1,,,,
,4406738,1,,1,,,,
,4406739,1,,1,,,,
,4406740,1,,1,,,,
,4406741,1,,1,,,,
,4406743,1,,1,,,,
,4406744,1,,1,,,,
,4406745,1,,1,,,,
,4406746,1,,1,,,,
,4406747,1,,1,,,,
,4406748,1,,1,,,,
,4406749,1,,1,,,,
,4406750,1,,1,,,,
,4406751,1,,1,,,,
,4406752,1,,1,,,,
,4406753,1,,1,,,,
,4406754,1,,1,,,,
,4406755,1,,1,,,,
,4406757,1,,1,,,,
,4406758,1,,1,,,,
,4406759,1,,1,,,,
,4406760,1,,1,,,,
,4406761,1,,1,,,,
,4406762,1,,1,,,,
,4406763,1,,1,,,,
,4406764,1,,1,,,,
,4406765,1,,1,,,,
,4406766,1,,1,,,,
,4406767,1,,1,,,,
,4406769,1,,1,,,,
,4406770,1,,1,,,,
,4406771,1,,1,,,,
,4406772,1,,1,,,,
,4406773,1,,1,,,,
,4406774,1,,1,,,,
,4406775,1,,1,,,,
,4406776,1,,1,,,,
,4406777,1,,1,,,,
,4406778,1,,1,,,,
,4406779,1,,1,,,,
,4406780,1,,1,,,,
,4406781,1,,1,,,,
,4406782,1,,1,,,,
,4406783,1,,1,,,,
,4406784,1,,1,,,,
,4406787,1,,1,,,,
,4406789,1,,1,,,,
,4406790,1,,1,,,,
,4406791,1,,1,,,,
,4406792,1,,1,,,,
,4406793,1,,1,,,,
,4406794,1,,1,,,,
,4406795,1,,1,,,,
,4406796,1,,1,,,,
,4406799,1,,1,,,,
,4406801,1,,1,,,,
,4406802,1,,1,,,,
,4406803,1,,1,,,,
,4406804,1,,1,,,,
,4406805,1,,1,,,,
,4406806,1,,1,,,,
,4406807,1,,1,,,,
,4406808,1,,1,,,,
,4406809,1,,1,,,,
,4406810,1,,1,,,,
,4406811,1,,1,,,,
,4406812,1,,1,,,,
,4406813,1,,1,,,,
,4406814,1,,1,,,,
,4406815,1,,1,,,,
,4406816,1,,1,,,,
,4406817,1,,1,,,,
,4406819,1,,1,,,,
,4406820,1,,1,,,,
,4406821,1,,1,,,,
,4406822,1,,1,,,,
,4406823,1,,1,,,,
,4406824,1,,1,,,,
,4406825,1,,1,,,,
,4406826,1,,1,,,,
,4406827,1,,1,,,,
,4406828,1,,1,,,,
,4406830,1,,1,,,,
,4406831,1,,1,,,,
,4406914,1,,1,,,,
"EXTRA_FIELD_10",,93,,1,,,,
,true,10,,1,,,,
,false,83,,1,,,,
"EXTRA_FIELD_11",,93,93,1,0124,2534,119419.000000,191822665.000000
,0124,1,,1,,,,
,0134,1,,1,,,,
,0212,1,,1,,,,
,0213,1,,1,,,,
,0223,1,,1,,,,
,0311,1,,1,,,,
,0323,1,,1,,,,
,0332,1,,1,,,,
,0412,1,,1,,,,
,0414,1,,1,,,,
,0511,1,,1,,,,
,0522,1,,1,,,,
,0612,1,,1,,,,
,0613,1,,1,,,,
,0711,1,,1,,,,
,0712,2,,1,,,,
,0713,1,,1,,,,
,0814,2,,1,,,,
,0821,1,,1,,,,
,0822,1,,1,,,,
,0823,2,,1,,,,
,0825,1,,1,,,,
,0832,3,,1,,,,
,0833,1,,1,,,,
,0834,2,,1,,,,
,0835,1,,1,,,,
,0911,1,,1,,,,
,0915,1,,1,,,,
,0935,1,,1,,,,
,1022,2,,1,,,,
,1112,1,,1,,,,
,1211,1,,1,,,,
,1212,1,,1,,,,
,1224,4,,1,,,,
,1312,4,,1,,,,
,1313,2,,1,,,,
,1324,2,,1,,,,
,1331,2,,1,,,,
,1332,1,,1,,,,
,1333,1,,1,,,,
,1411,1,,1,,,,
,1413,1,,1,,,,
,1414,2,,1,,,,
,1421,1,,1,,,,
,1424,1,,1,,,,
,1431,4,,1,,,,
,1433,2,,1,,,,
,1623,1,,1,,,,
,1812,1,,1,,,,
,1821,1,,1,,,,
,1822,1,,1,,,,
,1824,1,,1,,,,
,1831,1,,1,,,,
,1832,1,,1,,,,
,1922,1,,1,,,,
,1923,2,,1,,,,
,2123,1,,1,,,,
,2311,4,,1,,,,
,2312,1,,1,,,,
,2323,2,,1,,,,
,2331,1,,1,,,,
,2333,1,,1,,,,
,2433,1,,1,,,,
,2522,1,,1,,,,
,2525,1,,1,,,,
,2533,1,,1,,,,
,2534,1,,1,,,,
"EXTRA_FIELD_12",,93,93,1,001,025,1107.000000,16407.000000
,001,2,,1,,,,
,002,4,,1,,,,
,003,3,,1,,,,
,004,2,,1,,,,
,005,2,,1,,,,
,006,2,,1,,,,
,007,4,,1,,,,
,008,14,,1,,,,
,009,3,,1,,,,
