key,value,count,ncount,complete,min,max,sum,sumsq
,,152,,,,,,
"41_850099098_ _87_678237962",,152,,0,,,,
,HL628260,1,,1,,,,
,HL637634,1,,1,,,,
,HL637665,1,,1,,,,
,HL637676,1,,1,,,,
,HL639681,1,,1,,,,
,HL639702,1,,1,,,,
,HL639704,1,,1,,,,
,HL642694,1,,1,,,,
,HL642732,1,,1,,,,
,HL642833,1,,1,,,,
,HL642838,1,,1,,,,
,HL643064,1,,1,,,,
,HL643091,1,,1,,,,
,HL645049,1,,1,,,,
,HL645175,1,,1,,,,
,HL645189,1,,1,,,,
,HL645218,1,,1,,,,
,HL645233,1,,1,,,,
,HL645309,1,,1,,,,
,HL645314,1,,1,,,,
,HL653730,1,,1,,,,
,HL653739,1,,1,,,,
,HL680047,1,,1,,,,
,HL682213,1,,1,,,,
,HL686597,1,,1,,,,
,HL686752,1,,1,,,,
,HL686774,1,,1,,,,
,HL687643,1,,1,,,,
,HL689705,1,,1,,,,
,HL690141,1,,1,,,,
,HL690215,1,,1,,,,
,HL690611,1,,1,,,,
,HL690975,1,,1,,,,
,HL691093,1,,1,,,,
,HL691212,1,,1,,,,
,HL691787,1,,1,,,,
,HL692393,1,,1,,,,
,HL693023,1,,1,,,,
,HL693348,1,,1,,,,
,HL693553,1,,1,,,,
,HL693647,1,,1,,,,
,HL693748,1,,1,,,,
,HL693776,1,,1,,,,
,HL694019,1,,1,,,,
,HL694166,1,,1,,,,
,HL694274,1,,1,,,,
,HL694533,1,,1,,,,
,HL694568,1,,1,,,,
,HL694698,1,,1,,,,
,HL694778,1,,1,,,,
,HL694898,1,,1,,,,
,HL694907,1,,1,,,,
,HL694974,1,,1,,,,
,HL695095,1,,1,,,,
,HL695122,1,,1,,,,
,HL695149,1,,1,,,,
,HL695178,1,,1,,,,
,HL695316,1,,1,,,,
,HL695325,1,,1,,,,
,HL695387,1,,1,,,,
,HL695471,1,,1,,,,
,HL695486,1,,1,,,,
,HL695775,1,,1,,,,
,HL695896,1,,1,,,,
,HL695960,1,,1,,,,
,HL695974,1,,1,,,,
,HL696013,1,,1,,,,
,HL696015,1,,1,,,,
,HL696022,1,,1,,,,
,HL696128,1,,1,,,,
,HL696181,1,,1,,,,
,HL696352,1,,1,,,,
,HL696375,1,,1,,,,
,HL696385,1,,1,,,,
,HL697169,1,,1,,,,
,HL697942,1,,1,,,,
,HL698897,1,,1,,,,
,HL699419,1,,1,,,,
,HL699647,1,,1,,,,
,HL699821,1,,1,,,,
,HL700924,1,,1,,,,
,HL701437,1,,1,,,,
,HL701517,1,,1,,,,
,HL701744,1,,1,,,,
,HL701763,1,,1,,,,
,HL701901,1,,1,,,,
,HL701948,1,,1,,,,
,HL702070,1,,1,,,,
,HL702090,1,,1,,,,
,HL702190,1,,1,,,,
,HL702288,1,,1,,,,
,HL702313,1,,1,,,,
,HL702342,1,,1,,,,
,HL702378,1,,1,,,,
,HL702390,1,,1,,,,
,HL702423,1,,1,,,,
,HL702456,1,,1,,,,
,HL702479,1,,1,,,,
,HL702539,1,,1,,,,
,HL702635,1,,1,,,,
"87_678237962",,152,152,0,4401213,4409177,669613529.000000,2949885752731867.000000
,4401213,1,,1,,,,
,4401215,1,,1,,,,
,4401217,1,,1,,,,
,4401218,1,,1,,,,
,4401220,1,,1,,,,
,4401221,1,,1,,,,
,4401222,1,,1,,,,
,4401223,1,,1,,,,
,4401226,1,,1,,,,
,4401227,1,,1,,,,
,4401229,1,,1,,,,
,4401231,1,,1,,,,
,4401232,1,,1,,,,
,4401233,1,,1,,,,
,4401235,1,,1,,,,
,4401237,1,,1,,,,
,4401238,1,,1,,,,
,4401239,1,,1,,,,
,4401240,1,,1,,,,
,4401241,1,,1,,,,
,4401242,1,,1,,,,
,4401243,1,,1,,,,
,4401244,1,,1,,,,
,4401245,1,,1,,,,
,4401247,1,,1,,,,
,4401248,1,,1,,,,
,4401249,1,,1,,,,
,4401252,1,,1,,,,
,4401253,1,,1,,,,
,4401256,1,,1,,,,
,4401257,1,,1,,,,
,4401258,1,,1,,,,
,4401260,1,,1,,,,
,4401261,1,,1,,,,
,4401262,1,,1,,,,
,4401264,1,,1,,,,
,4401265,1,,1,,,,
,4401266,1,,1,,,,
,4401268,1,,1,,,,
,4401270,1,,1,,,,
,4401271,1,,1,,,,
,4401272,1,,1,,,,
,4401276,1,,1,,,,
,4401277,1,,1,,,,
,4401278,1,,1,,,,
,4401280,1,,1,,,,
,4401282,1,,1,,,,
,4401283,1,,1,,,,
,4401284,1,,1,,,,
,4401285,1,,1,,,,
,4401287,1,,1,,,,
,4401289,1,,1,,,,
,4401294,1,,1,,,,
,4401295,1,,1,,,,
,4401296,1,,1,,,,
,4401299,1,,1,,,,
,4401300,1,,1,,,,
,4401301,1,,1,,,,
,4401302,1,,1,,,,
,4401304,1,,1,,,,
,4401305,1,,1,,,,
,4401306,1,,1,,,,
,4401309,1,,1,,,,
,4401312,1,,1,,,,
,4401313,1,,1,,,,
,4401314,1,,1,,,,
,4401318,1,,1,,,,
,4401319,1,,1,,,,
,4401321,1,,1,,,,
,4401322,1,,1,,,,
,4401323,1,,1,,,,
,4401327,1,,1,,,,
,4401328,1,,1,,,,
,4409080,1,,1,,,,
,4409081,1,,1,,,,
,4409082,1,,1,,,,
,4409083,1,,1,,,,
,4409084,1,,1,,,,
,4409086,1,,1,,,,
,4409087,1,,1,,,,
,4409088,1,,1,,,,
,4409089,1,,1,,,,
,4409090,1,,1,,,,
,4409091,1,,1,,,,
,4409092,1,,1,,,,
,4409093,1,,1,,,,
,4409095,1,,1,,,,
,4409096,1,,1,,,,
,4409097,1,,1,,,,
,4409099,1,,1,,,,
,4409100,1,,1,,,,
,4409101,1,,1,,,,
,4409103,1,,1,,,,
,4409104,1,,1,,,,
,4409106,1,,1,,,,
,4409107,1,,1,,,,
,4409108,1,,1,,,,
,4409110,1,,1,,,,
,4409111,1,,1,,,,
,4409112,1,,1,,,,
"EXTRA_FIELD_10",,152,,1,,,,
,true,16,,1,,,,
,false,136,,1,,,,
"EXTRA_FIELD_11",,152,152,0,0113,2524,180793.000000,293218155.000000
,0113,1,,1,,,,
,0134,1,,1,,,,
,0211,1,,1,,,,
,0212,1,,1,,,,
,0213,1,,1,,,,
,0214,1,,1,,,,
,0233,1,,1,,,,
,0311,1,,1,,,,
,0312,2,,1,,,,
,0313,5,,1,,,,
,0314,2,,1,,,,
,0321,2,,1,,,,
,0322,4,,1,,,,
,0323,3,,1,,,,
,0331,2,,1,,,,
,0332,2,,1,,,,
,0333,1,,1,,,,
,0411,1,,1,,,,
,0412,2,,1,,,,
,0414,2,,1,,,,
,0421,2,,1,,,,
,0422,1,,1,,,,
,0433,1,,1,,,,
,0513,2,,1,,,,
,0522,2,,1,,,,
,0531,1,,1,,,,
,0532,1,,1,,,,
,0624,2,,1,,,,
,0631,1,,1,,,,
,0633,1,,1,,,,
,0711,1,,1,,,,
,0713,1,,1,,,,
,0733,3,,1,,,,
,0812,3,,1,,,,
,0813,1,,1,,,,
,0822,1,,1,,,,
,0832,2,,1,,,,
,0833,1,,1,,,,
,0914,1,,1,,,,
,0924,1,,1,,,,
,0931,1,,1,,,,
,0933,1,,1,,,,
,1021,1,,1,,,,
,1111,1,,1,,,,
,1114,2,,1,,,,
,1115,1,,1,,,,
,1122,1,,1,,,,
,1123,2,,1,,,,
,1124,1,,1,,,,
,1125,1,,1,,,,
,1132,2,,1,,,,
,1133,2,,1,,,,
,1135,1,,1,,,,
,1323,1,,1,,,,
,1332,1,,1,,,,
,1422,1,,1,,,,
,1423,1,,1,,,,
,1424,1,,1,,,,
,1431,1,,1,,,,
,1432,1,,1,,,,
,1522,1,,1,,,,
,1523,2,,1,,,,
,1524,1,,1,,,,
,1531,1,,1,,,,
,1532,4,,1,,,,
