key,value,count,ncount,complete,min,max,sum,sumsq
,,94,,,,,,
"41_850099098_ _87_678237962",,94,,1,,,,
,HL160425,1,,1,,,,
,HL653794,1,,1,,,,
,HL661295,1,,1,,,,
,HL671630,1,,1,,,,
,HL691666,1,,1,,,,
,HL693150,1,,1,,,,
,HL693219,1,,1,,,,
,HL693537,1,,1,,,,
,HL693961,1,,1,,,,
,HL694020,1,,1,,,,
,HL694321,1,,1,,,,
,HL694327,1,,1,,,,
,HL694360,1,,1,,,,
,HL694952,1,,1,,,,
,HL695253,1,,1,,,,
,HL695448,1,,1,,,,
,HL695551,1,,1,,,,
,HL695717,1,,1,,,,
,HL695754,1,,1,,,,
,HL696028,1,,1,,,,
,HL696332,1,,1,,,,
,HL696387,1,,1,,,,
,HL696654,1,,1,,,,
,HL696881,1,,1,,,,
,HL698623,1,,1,,,,
,HL698816,1,,1,,,,
,HL698822,1,,1,,,,
,HL698967,1,,1,,,,
,HL699252,1,,1,,,,
,HL699590,1,,1,,,,
,HL700202,1,,1,,,,
,HL700434,1,,1,,,,
,HL700950,1,,1,,,,
,HL701058,1,,1,,,,
,HL701354,1,,1,,,,
,HL701627,1,,1,,,,
,HL701657,1,,1,,,,
,HL702200,1,,1,,,,
,HL702228,1,,1,,,,
,HL702307,1,,1,,,,
,HL702346,1,,1,,,,
,HL702388,1,,1,,,,
,HL702417,1,,1,,,,
,HL702494,1,,1,,,,
,HL702541,1,,1,,,,
,HL702544,1,,1,,,,
,HL702566,1,,1,,,,
,HL702854,1,,1,,,,
,HL702861,1,,1,,,,
,HL702869,1,,1,,,,
,HL702916,1,,1,,,,
,HL702959,1,,1,,,,
,HL702968,1,,1,,,,
,HL703017,1,,1,,,,
,HL703066,1,,1,,,,
,HL703129,1,,1,,,,
,HL703210,1,,1,,,,
,HL703268,1,,1,,,,
,HL703273,1,,1,,,,
,HL703308,1,,1,,,,
,HL703310,1,,1,,,,
,HL703312,1,,1,,,,
,HL703320,1,,1,,,,
,HL703351,1,,1,,,,
,HL703355,1,,1,,,,
,HL703393,1,,1,,,,
,HL703394,1,,1,,,,
,HL703434,1,,1,,,,
,HL703488,1,,1,,,,
,HL703508,1,,1,,,,
,HL703580,1,,1,,,,
,HL703656,1,,1,,,,
,HL703716,1,,1,,,,
,HL703790,1,,1,,,,
,HL703839,1,,1,,,,
