key,value,count,ncount,complete,min,max,sum,sumsq
,,388,,,,,,
"41_850099098_ _87_678237962",,388,,0,,,,
,HK740286,1,,1,,,,
,HK742347,1,,1,,,,
,HK799342,1,,1,,,,
,HK799996,1,,1,,,,
,HL343537,1,,1,,,,
,HL625214,1,,1,,,,
,HL625703,1,,1,,,,
,HL625768,1,,1,,,,
,HL625791,1,,1,,,,
,HL625850,1,,1,,,,
,HL625865,1,,1,,,,
,HL626896,1,,1,,,,
,HL626897,1,,1,,,,
,HL626899,1,,1,,,,
,HL626905,1,,1,,,,
,HL642580,1,,1,,,,
,HL642586,1,,1,,,,
,HL642697,1,,1,,,,
,HL642715,1,,1,,,,
,HL642814,1,,1,,,,
,HL642944,1,,1,,,,
,HL643297,1,,1,,,,
,HL645974,1,,1,,,,
,HL645978,1,,1,,,,
,HL645995,1,,1,,,,
,HL646006,1,,1,,,,
,HL646023,1,,1,,,,
,HL646169,1,,1,,,,
,HL646176,1,,1,,,,
,HL646200,1,,1,,,,
,HL646225,1,,1,,,,
,HL646396,1,,1,,,,
,HL646441,1,,1,,,,
,HL646465,1,,1,,,,
,HL646487,1,,1,,,,
,HL646564,1,,1,,,,
,HL646657,1,,1,,,,
,HL646668,1,,1,,,,
,HL646674,1,,1,,,,
,HL646685,1,,1,,,,
,HL646695,1,,1,,,,
,HL646714,1,,1,,,,
,HL646717,1,,1,,,,
,HL646726,1,,1,,,,
,HL646735,1,,1,,,,
,HL646783,1,,1,,,,
,HL646828,1,,1,,,,
,HL646829,1,,1,,,,
,HL646897,1,,1,,,,
,HL646900,1,,1,,,,
,HL647006,1,,1,,,,
,HL647008,1,,1,,,,
,HL647083,1,,1,,,,
,HL647122,1,,1,,,,
,HL647168,1,,1,,,,
,HL647201,1,,1,,,,
,HL647207,1,,1,,,,
,HL647211,1,,1,,,,
,HL647230,1,,1,,,,
,HL647268,1,,1,,,,
,HL649209,1,,1,,,,
,HL649219,1,,1,,,,
,HL649221,1,,1,,,,
,HL649238,1,,1,,,,
,HL653170,1,,1,,,,
,HL653190,1,,1,,,,
,HL653214,1,,1,,,,
,HL653235,1,,1,,,,
,HL653272,1,,1,,,,
,HL653286,1,,1,,,,
,HL653299,1,,1,,,,
,HL653331,1,,1,,,,
,HL653361,1,,1,,,,
,HL653363,1,,1,,,,
,HL653364,1,,1,,,,
,HL653365,1,,1,,,,
,HL653367,1,,1,,,,
,HL653370,1,,1,,,,
,HL653371,1,,1,,,,
,HL653373,1,,1,,,,
,HL653375,1,,1,,,,
,HL653376,1,,1,,,,
,HL653378,1,,1,,,,
,HL653379,1,,1,,,,
,HL653436,1,,1,,,,
,HL653445,1,,1,,,,
,HL653467,1,,1,,,,
,HL653477,1,,1,,,,
,HL653514,1,,1,,,,
,HL653546,1,,1,,,,
,HL653547,1,,1,,,,
,HL653555,1,,1,,,,
