key,value,count,ncount,complete,min,max,sum,sumsq
,,184,,,,,,
"41_850099098_ _87_678237962",,184,,0,,,,
,HL343461,1,,1,,,,
,HL637475,1,,1,,,,
,HL637525,1,,1,,,,
,HL638675,1,,1,,,,
,HL653774,1,,1,,,,
,HL676836,1,,1,,,,
,HL683593,1,,1,,,,
,HL683904,1,,1,,,,
,HL687957,1,,1,,,,
,HL688381,1,,1,,,,
,HL690878,1,,1,,,,
,HL691324,1,,1,,,,
,HL691473,1,,1,,,,
,HL691940,1,,1,,,,
,HL692137,1,,1,,,,
,HL692212,1,,1,,,,
,HL692356,1,,1,,,,
,HL692457,1,,1,,,,
,HL692633,1,,1,,,,
,HL692834,1,,1,,,,
,HL693137,1,,1,,,,
,HL693227,1,,1,,,,
,HL693689,1,,1,,,,
,HL693797,1,,1,,,,
,HL694036,1,,1,,,,
,HL694045,1,,1,,,,
,HL694195,1,,1,,,,
,HL694198,1,,1,,,,
,HL694328,1,,1,,,,
,HL694370,1,,1,,,,
,HL694429,1,,1,,,,
,HL694445,1,,1,,,,
,HL694448,1,,1,,,,
,HL694488,1,,1,,,,
,HL694619,1,,1,,,,
,HL694675,1,,1,,,,
,HL694691,1,,1,,,,
,HL694710,1,,1,,,,
,HL694731,1,,1,,,,
,HL694776,1,,1,,,,
,HL694821,1,,1,,,,
,HL694874,1,,1,,,,
,HL694875,1,,1,,,,
,HL694889,1,,1,,,,
,HL694927,1,,1,,,,
,HL694970,1,,1,,,,
,HL695044,1,,1,,,,
,HL695066,1,,1,,,,
,HL695067,1,,1,,,,
,HL695108,1,,1,,,,
,HL695144,1,,1,,,,
,HL695171,1,,1,,,,
,HL695206,1,,1,,,,
,HL695320,1,,1,,,,
,HL695361,1,,1,,,,
,HL695404,1,,1,,,,
,HL695427,1,,1,,,,
,HL695506,1,,1,,,,
,HL695526,1,,1,,,,
,HL695534,1,,1,,,,
,HL695566,1,,1,,,,
,HL695628,1,,1,,,,
,HL695632,1,,1,,,,
,HL695670,1,,1,,,,
,HL695694,1,,1,,,,
,HL695746,1,,1,,,,
,HL695807,1,,1,,,,
,HL695808,1,,1,,,,
,HL695903,1,,1,,,,
,HL695928,1,,1,,,,
,HL695969,1,,1,,,,
,HL696021,1,,1,,,,
,HL696023,1,,1,,,,
,HL696149,1,,1,,,,
,HL696277,1,,1,,,,
,HL696521,1,,1,,,,
,HL696837,1,,1,,,,
,HL697427,1,,1,,,,
,HL698792,1,,1,,,,
,HL698953,1,,1,,,,
,HL699200,1,,1,,,,
,HL699398,1,,1,,,,
,HL699474,1,,1,,,,
,HL699685,1,,1,,,,
,HL700533,1,,1,,,,
,HL700880,1,,1,,,,
,HL700931,1,,1,,,,
,HL701334,1,,1,,,,
,HL701480,1,,1,,,,
,HL701513,1,,1,,,,
,HL701900,1,,1,,,,
,HL702051,1,,1,,,,
,HL702160,1,,1,,,,
,HL702166,1,,1,,,,
,HL702184,1,,1,,,,
,HL702215,1,,1,,,,
,HL702224,1,,1,,,,
,HL702230,1,,1,,,,
,HL702251,1,,1,,,,
,HL702259,1,,1,,,,
"87_678237962",,184,184,0,4400879,4408707,810627578.000000,3571291044160346.000000
,4400879,1,,1,,,,
,4400881,1,,1,,,,
,4400882,1,,1,,,,
,4400884,1,,1,,,,
,4400885,1,,1,,,,
,4400887,1,,1,,,,
,4400888,1,,1,,,,
,4400889,1,,1,,,,
,4400890,1,,1,,,,
,4400892,1,,1,,,,
,4400893,1,,1,,,,
,4400894,1,,1,,,,
,4400895,1,,1,,,,
,4400896,1,,1,,,,
,4400897,1,,1,,,,
,4400899,1,,1,,,,
,4400900,1,,1,,,,
,4400902,1,,1,,,,
,4400904,1,,1,,,,
,4400905,1,,1,,,,
,4400906,1,,1,,,,
,4400907,1,,1,,,,
,4400909,1,,1,,,,
,4400910,1,,1,,,,
,4400911,1,,1,,,,
,4400912,1,,1,,,,
,4400914,1,,1,,,,
,4400917,1,,1,,,,
,4400918,1,,1,,,,
,4400920,1,,1,,,,
,4400922,1,,1,,,,
,4400925,1,,1,,,,
,4400926,1,,1,,,,
,4400928,1,,1,,,,
,4400929,1,,1,,,,
,4400930,1,,1,,,,
,4400931,1,,1,,,,
,4400933,1,,1,,,,
,4400934,1,,1,,,,
,4400935,1,,1,,,,
,4400939,1,,1,,,,
,4400940,1,,1,,,,
,4400942,1,,1,,,,
,4400943,1,,1,,,,
,4400944,1,,1,,,,
,4400945,1,,1,,,,
,4400946,1,,1,,,,
,4400947,1,,1,,,,
,4400948,1,,1,,,,
,4400950,1,,1,,,,
,4400951,1,,1,,,,
,4400952,1,,1,,,,
,4400953,1,,1,,,,
,4400954,1,,1,,,,
,4400958,1,,1,,,,
,4400962,1,,1,,,,
,4400965,1,,1,,,,
,4400967,1,,1,,,,
,4400968,1,,1,,,,
,4400969,1,,1,,,,
,4400970,1,,1,,,,
,4400972,1,,1,,,,
,4400973,1,,1,,,,
,4400974,1,,1,,,,
,4400976,1,,1,,,,
,4400977,1,,1,,,,
,4400983,1,,1,,,,
,4400985,1,,1,,,,
,4400991,1,,1,,,,
,4400992,1,,1,,,,
,4400993,1,,1,,,,
,4400995,1,,1,,,,
,4400996,1,,1,,,,
,4408579,1,,1,,,,
,4408581,1,,1,,,,
,4408582,1,,1,,,,
,4408584,1,,1,,,,
,4408587,1,,1,,,,
,4408588,1,,1,,,,
,4408589,1,,1,,,,
,4408590,1,,1,,,,
,4408591,1,,1,,,,
,4408592,1,,1,,,,
,4408593,1,,1,,,,
,4408594,1,,1,,,,
,4408595,1,,1,,,,
,4408596,1,,1,,,,
,4408597,1,,1,,,,
,4408599,1,,1,,,,
,4408600,1,,1,,,,
,4408602,1,,1,,,,
,4408603,1,,1,,,,
,4408604,1,,1,,,,
,4408605,1,,1,,,,
,4408606,1,,1,,,,
,4408607,1,,1,,,,
,4408608,1,,1,,,,
,4408609,1,,1,,,,
,4408610,1,,1,,,,
,4408611,1,,1,,,,
"EXTRA_FIELD_10",,184,,1,,,,
,true,24,,1,,,,
,false,160,,1,,,,
"EXTRA_FIELD_11",,184,184,0,0122,2535,222948.000000,377766832.000000
,0122,1,,1,,,,
,0123,1,,1,,,,
,0133,1,,1,,,,
,0134,1,,1,,,,
,0211,1,,1,,,,
,0213,1,,1,,,,
,0221,2,,1,,,,
,0222,1,,1,,,,
,0223,1,,1,,,,
,0233,1,,1,,,,
,0234,1,,1,,,,
,0311,1,,1,,,,
,0313,1,,1,,,,
,0314,2,,1,,,,
,0321,1,,1,,,,
,0322,1,,1,,,,
,0323,1,,1,,,,
,0331,1,,1,,,,
,0332,3,,1,,,,
,0334,1,,1,,,,
,0411,1,,1,,,,
,0421,6,,1,,,,
,0422,2,,1,,,,
,0423,2,,1,,,,
,0424,1,,1,,,,
,0432,2,,1,,,,
,0433,1,,1,,,,
,0511,3,,1,,,,
,0512,2,,1,,,,
,0513,2,,1,,,,
,0523,2,,1,,,,
,0611,3,,1,,,,
,0621,1,,1,,,,
,0622,2,,1,,,,
,0624,1,,1,,,,
,0633,1,,1,,,,
,0711,1,,1,,,,
,0712,1,,1,,,,
,0713,1,,1,,,,
,0715,1,,1,,,,
,0723,1,,1,,,,
,0724,1,,1,,,,
,0726,1,,1,,,,
,0732,1,,1,,,,
,0814,1,,1,,,,
,0815,1,,1,,,,
,0822,1,,1,,,,
,0824,1,,1,,,,
,0825,2,,1,,,,
,0831,1,,1,,,,
,0832,1,,1,,,,
,0833,1,,1,,,,
,0835,3,,1,,,,
,0911,2,,1,,,,
,0912,3,,1,,,,
,0913,1,,1,,,,
,0914,1,,1,,,,
,0915,2,,1,,,,
,0921,2,,1,,,,
,0922,1,,1,,,,
,0923,1,,1,,,,
,0924,2,,1,,,,
,0931,1,,1,,,,
,0932,2,,1,,,,
,0933,1,,1,,,,
,0934,3,,1,,,,
,1022,2,,1,,,,
,1023,1,,1,,,,
,1033,1,,1,,,,
,1034,1,,1,,,,
,1111,1,,1,,,,
,1121,2,,1,,,,
,1125,1,,1,,,,
,1135,1,,1,,,,
,1224,1,,1,,,,
,1231,1,,1,,,,
,1323,2,,1,,,,
,1332,2,,1,,,,
,1333,1,,1,,,,
,1422,1,,1,,,,
,1424,1,,1,,,,
,1431,1,,1,,,,
,1432,1,,1,,,,
,1433,1,,1,,,,
,1611,1,,1,,,,
,1723,3,,1,,,,
,1831,2,,1,,,,
,1923,3,,1,,,,
,1924,2,,1,,,,
,2023,2,,1,,,,
,2412,4,,1,,,,
,2422,2,,1,,,,
,2423,2,,1,,,,
,2424,2,,1,,,,
,2431,2,,1,,,,
,2432,2,,1,,,,
,2433,3,,1,,,,
,2521,2,,1,,,,
,2523,2,,1,,,,
,2524,2,,1,,,,
"EXTRA_FIELD_12",,184,184,1,001,025,2154.000000,35840.000000
,001,5,,1,,,,
,002,8,,1,,,,
,003,12,,1,,,,
,004,15,,1,,,,
,005,9,,1,,,,
,006,8,,1,,,,
,007,8,,1,,,,
,008,12,,1,,,,
,009,22,,1,,,,
,010,5,,1,,,,
,011,5,,1,,,,
,012,7,,1,,,,
,014,5,,1,,,,
,016,6,,1,,,,
,017,3,,1,,,,
,018,6,,1,,,,
,019,11,,1,,,,
,020,4,,1,,,,
,022,5,,1,,,,
,024,19,,1,,,,
,025,9,,1,,,,
"EXTRA_FIELD_13",,184,184,1,1,50,4197.000000,141563.000000
,1,4,,1,,,,
,2,6,,1,,,,
,3,8,,1,,,,
,4,2,,1,,,,
,5,6,,1,,,,
,6,6,,1,,,,
,7,10,,1,,,,
,8,1,,1,,,,
,9,5,,1,,,,
,10,5,,1,,,,
,11,4,,1,,,,
,12,5,,1,,,,
,13,2,,1,,,,
,14,6,,1,,,,
,15,5,,1,,,,
,16,9,,1,,,,
,17,5,,1,,,,
,18,3,,1,,,,
,19,2,,1,,,,
,20,7,,1,,,,
,21,5,,1,,,,
,23,2,,1,,,,
,24,2,,1,,,,
,25,1,,1,,,,
