key,value,count,ncount,complete,min,max,sum,sumsq
,,95,,,,,,
"41_850099098_ _87_678237962",,95,,1,,,,
,HL250305,1,,1,,,,
,HL626908,1,,1,,,,
,HL631308,1,,1,,,,
,HL631310,1,,1,,,,
,HL631421,1,,1,,,,
,HL631479,1,,1,,,,
,HL636164,1,,1,,,,
,HL638304,1,,1,,,,
,HL638306,1,,1,,,,
,HL638307,1,,1,,,,
,HL638308,1,,1,,,,
,HL638309,1,,1,,,,
,HL638310,1,,1,,,,
,HL638311,1,,1,,,,
,HL639525,1,,1,,,,
,HL643899,1,,1,,,,
,HL644048,1,,1,,,,
,HL647324,1,,1,,,,
,HL655911,1,,1,,,,
,HL678121,1,,1,,,,
,HL683946,1,,1,,,,
,HL687105,1,,1,,,,
,HL687965,1,,1,,,,
,HL687999,1,,1,,,,
,HL688514,1,,1,,,,
,HL688883,1,,1,,,,
,HL689231,1,,1,,,,
,HL689242,1,,1,,,,
,HL689323,1,,1,,,,
,HL689431,1,,1,,,,
,HL690274,1,,1,,,,
,HL690530,1,,1,,,,
,HL690650,1,,1,,,,
,HL690789,1,,1,,,,
,HL690901,1,,1,,,,
,HL690966,1,,1,,,,
,HL691316,1,,1,,,,
,HL691394,1,,1,,,,
,HL691599,1,,1,,,,
,HL691918,1,,1,,,,
,HL692073,1,,1,,,,
,HL692231,1,,1,,,,
,HL692235,1,,1,,,,
,HL692276,1,,1,,,,
,HL692280,1,,1,,,,
,HL692382,1,,1,,,,
,HL692418,1,,1,,,,
,HL692493,1,,1,,,,
,HL692546,1,,1,,,,
,HL692565,1,,1,,,,
,HL692584,1,,1,,,,
,HL692642,1,,1,,,,
,HL692660,1,,1,,,,
,HL692690,1,,1,,,,
,HL692770,1,,1,,,,
,HL692949,1,,1,,,,
,HL693071,1,,1,,,,
,HL693143,1,,1,,,,
,HL693255,1,,1,,,,
,HL693300,1,,1,,,,
,HL693359,1,,1,,,,
,HL693387,1,,1,,,,
,HL693410,1,,1,,,,
,HL693411,1,,1,,,,
,HL693549,1,,1,,,,
,HL693582,1,,1,,,,
,HL693745,1,,1,,,,
,HL693841,1,,1,,,,
,HL693948,1,,1,,,,
,HL694009,1,,1,,,,
,HL694014,1,,1,,,,
,HL694035,1,,1,,,,
,HL694057,1,,1,,,,
,HL694077,1,,1,,,,
,HL694108,1,,1,,,,
,HL694117,1,,1,,,,
,HL694121,1,,1,,,,
,HL694138,1,,1,,,,
,HL694200,1,,1,,,,
,HL694206,1,,1,,,,
,HL694207,1,,1,,,,
,HL694212,1,,1,,,,
,HL694227,1,,1,,,,
,HL694234,1,,1,,,,
,HL694246,1,,1,,,,
,HL694255,1,,1,,,,
,HL694275,1,,1,,,,
,HL696369,1,,1,,,,
,HL697543,1,,1,,,,
,HL700003,1,,1,,,,
,HL700377,1,,1,,,,
,HL700925,1,,1,,,,
,HL701102,1,,1,,,,
,HL702069,1,,1,,,,
,HN787143,1,,1,,,,
"87_678237962",,95,95,1,4399,4407297,413598091.000000,1819785183922809.000000
,4399,1,,1,,,,
,4398896,1,,1,,,,
,4398898,1,,1,,,,
,4398904,1,,1,,,,
,4398905,1,,1,,,,
,4398906,1,,1,,,,
,4398907,1,,1,,,,
,4398908,1,,1,,,,
,4398909,1,,1,,,,
,4398910,1,,1,,,,
,4398911,1,,1,,,,
,4398912,1,,1,,,,
,4398913,1,,1,,,,
,4398915,1,,1,,,,
,4398916,1,,1,,,,
,4398917,1,,1,,,,
,4398918,1,,1,,,,
,4398921,1,,1,,,,
,4398922,1,,1,,,,
,4398923,1,,1,,,,
,4398924,1,,1,,,,
,4398925,1,,1,,,,
,4398926,1,,1,,,,
,4398927,1,,1,,,,
,4398928,1,,1,,,,
,4398929,1,,1,,,,
,4398931,1,,1,,,,
,4398932,1,,1,,,,
,4398936,1,,1,,,,
,4398938,1,,1,,,,
,4398940,1,,1,,,,
,4398941,1,,1,,,,
,4398942,1,,1,,,,
,4398943,1,,1,,,,
,4398944,1,,1,,,,
,4398945,1,,1,,,,
,4398946,1,,1,,,,
,4398949,1,,1,,,,
,4398950,1,,1,,,,
,4398951,1,,1,,,,
,4398952,1,,1,,,,
,4398954,1,,1,,,,
,4398956,1,,1,,,,
,4398957,1,,1,,,,
,4398958,1,,1,,,,
,4398960,1,,1,,,,
,4398962,1,,1,,,,
,4398963,1,,1,,,,
,4398965,1,,1,,,,
,4398966,1,,1,,,,
,4398967,1,,1,,,,
,4398968,1,,1,,,,
,4398970,1,,1,,,,
,4398974,1,,1,,,,
,4398975,1,,1,,,,
,4398976,1,,1,,,,
,4398978,1,,1,,,,
,4398980,1,,1,,,,
,4398982,1,,1,,,,
,4398984,1,,1,,,,
,4398987,1,,1,,,,
,4398988,1,,1,,,,
,4398990,1,,1,,,,
,4398991,1,,1,,,,
,4398992,1,,1,,,,
,4398993,1,,1,,,,
,4398994,1,,1,,,,
,4398995,1,,1,,,,
,4398996,1,,1,,,,
,4398997,1,,1,,,,
,4399000,1,,1,,,,
,4399003,1,,1,,,,
,4399004,1,,1,,,,
,4399005,1,,1,,,,
,4399006,1,,1,,,,
,4399010,1,,1,,,,
,4399011,1,,1,,,,
,4399015,1,,1,,,,
,4399016,1,,1,,,,
,4399017,1,,1,,,,
,4399018,1,,1,,,,
,4399019,1,,1,,,,
,4399020,1,,1,,,,
,4399022,1,,1,,,,
,4407284,1,,1,,,,
,4407285,1,,1,,,,
,4407287,1,,1,,,,
,4407288,1,,1,,,,
,4407289,1,,1,,,,
,4407290,1,,1,,,,
,4407293,1,,1,,,,
,4407294,1,,1,,,,
,4407295,1,,1,,,,
,4407296,1,,1,,,,
,4407297,1,,1,,,,
"EXTRA_FIELD_10",,95,,1,,,,
,true,8,,1,,,,
,false,87,,1,,,,
"EXTRA_FIELD_11",,95,95,1,0223,2533,114714.000000,177776068.000000
,0223,1,,1,,,,
,0232,1,,1,,,,
,0412,1,,1,,,,
,0413,1,,1,,,,
,0414,1,,1,,,,
,0421,1,,1,,,,
,0423,2,,1,,,,
,0431,2,,1,,,,
,0434,1,,1,,,,
,0513,1,,1,,,,
,0531,1,,1,,,,
,0533,4,,1,,,,
,0612,1,,1,,,,
,0613,3,,1,,,,
,0621,1,,1,,,,
,0622,1,,1,,,,
,0623,1,,1,,,,
,0624,1,,1,,,,
,0631,1,,1,,,,
,0632,1,,1,,,,
,0634,1,,1,,,,
,0722,1,,1,,,,
,0733,1,,1,,,,
,0735,2,,1,,,,
,0811,1,,1,,,,
,0823,1,,1,,,,
,0824,1,,1,,,,
,0831,1,,1,,,,
,0833,1,,1,,,,
,0911,1,,1,,,,
,0922,1,,1,,,,
,0924,1,,1,,,,
,0933,1,,1,,,,
,1021,1,,1,,,,
,1022,1,,1,,,,
,1023,1,,1,,,,
,1032,1,,1,,,,
,1112,6,,1,,,,
,1114,1,,1,,,,
,1122,4,,1,,,,
,1212,1,,1,,,,
,1231,1,,1,,,,
,1312,1,,1,,,,
,1322,1,,1,,,,
,1432,1,,1,,,,
,1433,1,,1,,,,
,1531,1,,1,,,,
,1532,1,,1,,,,
,1611,2,,1,,,,
,1613,1,,1,,,,
,1631,1,,1,,,,
,1633,1,,1,,,,
,1712,1,,1,,,,
,1722,1,,1,,,,
,1724,1,,1,,,,
,1731,1,,1,,,,
,1811,1,,1,,,,
,1822,1,,1,,,,
,1824,1,,1,,,,
,1834,2,,1,,,,
,1923,1,,1,,,,
,2013,1,,1,,,,
,2022,1,,1,,,,
,2112,1,,1,,,,
,2113,1,,1,,,,
,2212,1,,1,,,,
,2213,1,,1,,,,
,2221,1,,1,,,,
,2223,1,,1,,,,
,2233,1,,1,,,,
,2311,1,,1,,,,
,2322,1,,1,,,,
,2411,2,,1,,,,
