0	19	115240	1751268874	1751278021	1751278021	
1	sourcetype::splunk_version	  1	1751269211	1751269211	1751269211	
2	sourcetype::splunkd	 99651	1751268874	1751278021	1751278021	
3	sourcetype::splunk_migration	111	1751269084	1751269104	1751269211	
4	sourcetype::mongod	  1357	1751269090	1751278017	1751278020	
5	sourcetype::scheduler	  9	1751268874	1751278019	1751278020	
6	sourcetype::splunkd_conf	  1	1751269207	1751269207	1751269212	
7	sourcetype::splunkd_access	  6449	1751269213	1751278012	1751278012	
8	sourcetype::splunk_web_service	695	1751269219	1751278009	1751278009	
9	sourcetype::splunk_python	820	1751269219	1751278009	1751278009	
10	sourcetype::splunkd_ui_access	  5603	1751269229	1751277993	1751277995	
11	sourcetype::splunk_web_access	187	1751269229	1751277993	1751277993	
12	sourcetype::splunk_search_messages	 58	1751269267	1751277944	1751277946	
13	sourcetype::pura_utils-too_small	269	1751274030	1751274597	1751274599	
14	sourcetype::pura_remote_scan_scripted_input-too_small	                                 8	1751274038	1751274038	1751274039	
15	sourcetype::pura_storage_utils-too_small	  3	1751274038	1751274038	1751274039	
16	sourcetype::eura_email_notification_scripted_input-too_small	  1	1751274044	1751274044	1751274045	
17	sourcetype::pura_email_notification_scripted_input-too_small	  1	1751274389	1751274389	1751274390	
18	sourcetype::eura_remote_scan_scripted_input-too_small	  8	1751274550	1751274550	1751274551	
19	sourcetype::jura_remote_scan_scripted_input-too_small	                                      8	1751274597	1751274597	1751274598	
